Sky Harbour Group Price to Free Cash Flow Ratio Historical Data,Sky Harbour Group Price to Free Cash Flow Ratio Historical Data,Sky Harbour Group Price to Free Cash Flow Ratio Historical Data,Sky Harbour Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.7,,0.0
2024-09-30,11.04,$-0.38,0.0
2024-06-30,9.25,$-0.50,0.0
2024-03-31,12.77,$-0.40,0.0
2023-12-31,9.66,$-0.52,0.0
2023-09-30,4.49,$-0.76,0.0
2023-06-30,4.73,$-1.73,0.0
2023-03-31,7.19,$-1.43,0.0
2022-12-31,2.66,$-2.04,0.0
2022-09-30,3.68,$-1.73,0.0
2022-06-30,5.66,$-0.41,0.0
2022-03-31,14.92,$-0.93,0.0
2021-12-31,10.17,0,0.0
2021-09-30,10.15,0,0.0
