Mastech Digital Price to Free Cash Flow Ratio Historical Data,Mastech Digital Price to Free Cash Flow Ratio Historical Data,Mastech Digital Price to Free Cash Flow Ratio Historical Data,Mastech Digital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.52,,20.22
2024-12-31,14.9,$0.52,28.64
2024-09-30,10.0,$0.68,14.76
2024-06-30,7.5,$0.15,48.86
2024-03-31,9.0,$0.96,9.4
2023-12-31,8.43,$1.35,6.26
2023-09-30,9.0,$1.27,7.11
2023-06-30,9.88,$2.00,4.94
2023-03-31,12.33,$1.16,10.64
2022-12-31,11.01,$0.98,11.29
2022-09-30,14.77,$0.76,19.39
2022-06-30,14.86,$0.38,38.72
2022-03-31,18.49,$0.29,63.15
2021-12-31,17.07,$0.28,61.54
2021-09-30,17.01,$0.46,37.34
2021-06-30,14.95,$0.78,19.08
2021-03-31,17.61,$1.58,11.17
2020-12-31,15.9,$1.75,9.08
2020-09-30,18.01,$1.64,10.98
2020-06-30,25.93,$1.57,16.55
2020-03-31,12.84,$1.51,8.52
2019-12-31,11.07,$1.34,8.25
2019-09-30,6.0,$1.32,4.56
2019-06-30,4.75,$0.71,6.69
2019-03-31,6.16,$0.14,42.53
2018-12-31,6.3,$-0.11,0.0
2018-09-30,9.57,$0.11,83.44
2018-06-30,8.05,$0.12,66.86
2018-03-31,6.17,$0.39,15.78
2017-12-31,5.03,$0.22,22.66
2017-09-30,6.39,$0.43,14.76
2017-06-30,3.24,$0.40,8.1
2017-03-31,3.68,$0.21,17.84
2016-12-31,3.41,$0.24,13.95
2016-09-30,4.06,$0.03,159.86
2016-06-30,3.33,$0.05,66.24
2016-03-31,3.61,$-0.04,0.0
2015-12-31,3.66,$0.32,11.35
2015-09-30,3.78,$-0.10,0.0
2015-06-30,4.47,$0.33,13.42
2015-03-31,4.53,$0.50,9.02
2014-12-31,5.31,$0.29,18.4
2014-09-30,5.12,$0.34,15.17
2014-06-30,7.61,$0.55,13.9
2014-03-31,6.94,$0.19,36.45
2013-12-31,7.0,$0.36,19.53
2013-09-30,4.43,$0.40,10.97
2013-06-30,2.99,$0.20,14.9
2013-03-31,3.45,$0.16,22.28
2012-12-31,1.96,$0.10,19.1
2012-09-30,1.15,$0.04,26.52
2012-06-30,1.29,$-0.08,0.0
2012-03-31,1.39,$0.12,11.45
2011-12-31,0.83,$0.03,29.37
2011-09-30,0.64,$0.02,25.72
2011-06-30,0.76,$-0.06,0.0
2011-03-31,1.03,$-0.16,0.0
2010-12-31,0.94,$0.03,30.33
2010-09-30,0.67,$-0.13,0.0
2010-06-30,0.68,$-0.00,0.0
2010-03-31,0.97,$0.17,5.67
2009-12-31,1.04,$0.28,3.77
