Lowe's Price to Free Cash Flow Ratio Historical Data,Lowe's Price to Free Cash Flow Ratio Historical Data,Lowe's Price to Free Cash Flow Ratio Historical Data,Lowe's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,226.26,,16.38
2024-10-31,261.83,$13.81,18.96
2024-07-31,244.47,$13.37,18.28
2024-04-30,225.9,$14.57,15.5
2024-01-31,209.9,$10.67,19.68
2023-10-31,186.98,$9.27,20.18
2023-07-31,228.51,$11.34,20.14
2023-04-30,201.77,$9.70,20.81
2023-01-31,201.15,$10.78,18.65
2022-10-31,187.35,$11.82,15.85
2022-07-31,183.07,$11.65,15.71
2022-04-30,187.95,$10.29,18.27
2022-01-31,224.73,$11.98,18.76
2021-10-31,220.64,$10.29,21.44
2021-07-31,181.18,$6.43,28.17
2021-04-30,183.77,$12.67,14.51
2021-01-31,155.78,$12.46,12.5
2020-10-31,147.09,$13.35,11.01
2020-07-31,138.08,$14.58,9.47
2020-04-30,96.76,$6.86,14.12
2020-01-31,106.74,$3.82,27.91
2019-10-31,102.03,$3.06,33.29
2019-07-31,92.24,$3.76,24.51
2019-04-30,102.37,$4.84,21.14
2019-01-31,86.64,$6.27,13.81
2018-10-31,85.35,$6.65,12.84
2018-07-31,88.61,$5.75,15.4
2018-04-30,73.17,$5.02,14.57
2018-01-31,92.51,$4.75,19.49
2017-10-31,70.35,$5.51,12.78
2017-07-31,67.77,$5.87,11.54
2017-04-30,73.91,$5.34,13.83
2017-01-31,63.37,$5.09,12.44
2016-10-31,57.52,$4.97,11.57
2016-07-31,70.65,$4.74,14.89
2016-04-30,65.0,$4.92,13.2
2016-01-31,61.05,$3.92,15.56
2015-10-31,62.64,$3.99,15.69
2015-07-31,58.63,$4.44,13.21
2015-04-30,57.96,$4.72,12.28
2015-01-31,56.86,$4.14,13.73
2014-10-31,47.83,$4.13,11.59
2014-07-31,39.84,$3.80,10.48
2014-04-30,38.04,$3.19,11.92
2014-01-31,38.21,$3.06,12.49
2013-10-31,40.94,$3.12,13.12
2013-07-31,36.52,$3.24,11.26
2013-04-30,31.35,$2.19,14.29
2013-01-31,31.03,$2.33,13.33
2012-10-31,26.2,$2.26,11.57
2012-07-31,20.43,$1.96,10.44
2012-04-30,25.18,$2.22,11.37
2012-01-31,21.37,$2.02,10.58
2011-10-31,16.66,$1.89,8.8
2011-07-31,16.99,$2.26,7.51
2011-04-30,20.53,$1.70,12.06
2011-01-31,19.32,$1.82,10.64
2010-10-31,16.55,$1.57,10.51
2010-07-31,16.0,$1.24,12.89
2010-04-30,20.81,$2.04,10.2
2010-01-31,16.56,$1.55,10.66
2009-10-31,14.91,$2.63,5.67
