HBT Financial Price to Free Cash Flow Ratio Historical Data,HBT Financial Price to Free Cash Flow Ratio Historical Data,HBT Financial Price to Free Cash Flow Ratio Historical Data,HBT Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.37,,8.84
2024-12-31,21.9,$2.64,8.28
2024-09-30,21.68,$2.54,8.55
2024-06-30,20.05,$2.28,8.81
2024-03-31,18.51,$2.12,8.72
2023-12-31,20.32,$1.99,10.2
2023-09-30,17.41,$2.41,7.23
2023-06-30,17.45,$2.52,6.92
2023-03-31,18.48,$2.45,7.54
2022-12-31,18.2,$2.52,7.22
2022-09-30,16.76,$2.29,7.33
2022-06-30,16.35,$1.76,9.29
2022-03-31,16.48,$2.03,8.11
2021-12-31,16.84,$1.51,11.14
2021-09-30,13.87,$2.26,6.15
2021-06-30,15.39,$2.42,6.36
2021-03-31,15.01,$0.87,17.33
2020-12-31,13.16,$1.07,12.29
2020-09-30,9.63,$4.15,2.32
