Better Home & Finance Holding Price to Free Cash Flow Ratio Historical Data,Better Home & Finance Holding Price to Free Cash Flow Ratio Historical Data,Better Home & Finance Holding Price to Free Cash Flow Ratio Historical Data,Better Home & Finance Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.98,,0.0
2024-09-30,17.81,$-27.61,0.0
2024-06-30,0.46,$-17.26,0.0
2024-03-31,0.5,$-17.26,0.0
2023-12-31,0.82,$-17.26,0.0
2023-09-30,0.48,$-7.96,0.0
2023-06-30,10.45,0,0.0
2023-03-31,10.11,0,0.0
2022-12-31,10.09,0,0.0
2022-09-30,9.89,0,0.0
2022-06-30,9.79,0,0.0
2022-03-31,9.86,0,0.0
