Safe Bulkers Price to Free Cash Flow Ratio Historical Data,Safe Bulkers Price to Free Cash Flow Ratio Historical Data,Safe Bulkers Price to Free Cash Flow Ratio Historical Data,Safe Bulkers Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.82,,6.45
2024-12-31,3.57,$0.59,6.03
2024-09-30,5.11,$-0.29,0.0
2024-06-30,5.69,$-0.32,0.0
2024-03-31,4.8,$-0.45,0.0
2023-12-31,3.77,$-0.49,0.0
2023-09-30,3.06,$-0.18,0.0
2023-06-30,3.03,$-0.05,0.0
2023-03-31,3.38,$0.21,16.45
2022-12-31,2.63,$0.43,6.15
2022-09-30,2.2,$2.14,1.03
2022-06-30,3.35,$1.81,1.85
2022-03-31,4.14,$1.41,2.94
2021-06-30,3.45,$1.04,3.33
2021-03-31,2.11,$0.13,16.72
2020-12-31,1.12,$0.13,8.87
2020-09-30,0.89,$-0.21,0.0
2020-06-30,1.05,$0.06,17.14
2020-03-31,1.02,$0.19,5.46
2019-12-31,1.46,$0.19,7.8
2019-09-30,1.5,$0.20,7.38
2019-06-30,1.34,$0.39,3.45
2019-03-31,1.26,$0.39,3.23
2018-12-31,1.53,$0.39,3.93
2018-09-30,2.48,$0.68,3.62
2018-06-30,2.92,$0.11,27.65
2018-03-31,2.73,$0.11,25.78
2017-12-31,2.78,$0.11,26.27
2017-09-30,2.36,$-0.19,0.0
2017-06-30,1.97,$-0.19,0.0
2017-03-31,1.89,$-0.19,0.0
2016-12-31,0.99,$-0.19,0.0
2016-09-30,1.21,$-1.17,0.0
2016-06-30,0.9,$-1.17,0.0
2016-03-31,0.69,$-1.17,0.0
2015-12-31,0.7,$-1.17,0.0
2015-09-30,2.37,$-1.23,0.0
2015-06-30,2.76,$-1.23,0.0
2015-03-31,3.07,$-1.23,0.0
2014-12-31,3.32,$-1.23,0.0
2014-09-30,5.61,$0.12,48.32
2014-06-30,8.17,$-0.24,0.0
2014-03-31,7.91,$-0.24,0.0
2013-12-31,8.6,$-0.24,0.0
2013-09-30,5.58,$-0.26,0.0
2013-06-30,4.33,$-0.41,0.0
2013-03-31,4.0,$-0.41,0.0
2012-12-31,2.68,$-0.41,0.0
2012-09-30,4.55,$-1.27,0.0
2012-06-30,4.73,$-0.76,0.0
2012-03-31,5.01,$-0.76,0.0
2011-12-31,4.4,$-0.76,0.0
2011-09-30,4.44,$-0.64,0.0
2011-06-30,5.35,$-0.64,0.0
2011-03-31,6.24,$-0.64,0.0
2010-12-31,6.01,$-0.64,0.0
2010-09-30,5.27,$1.46,3.59
2010-06-30,4.59,$0.25,18.3
2010-03-31,5.0,$1.46,3.42
2009-12-31,5.51,$1.46,3.76
