Rush Enterprises Price to Free Cash Flow Ratio Historical Data,Rush Enterprises Price to Free Cash Flow Ratio Historical Data,Rush Enterprises Price to Free Cash Flow Ratio Historical Data,Rush Enterprises Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,55.94,,23.36
2024-12-31,54.44,$2.39,22.73
2024-09-30,47.79,$-0.77,0.0
2024-06-30,38.95,$-0.67,0.0
2024-03-31,52.69,$-3.71,0.0
2023-12-31,52.2,$-0.85,0.0
2023-09-30,44.44,$-0.40,0.0
2023-06-30,44.35,$0.38,117.17
2023-03-31,38.88,$0.80,48.32
2022-12-31,36.4,$0.68,53.38
2022-09-30,30.86,$-0.52,0.0
2022-06-30,31.84,$0.67,47.33
2022-03-31,30.91,$2.80,11.05
2021-12-31,34.37,$2.98,11.54
2021-09-30,29.04,$5.41,5.37
2021-06-30,24.09,$5.16,4.67
2021-03-31,28.37,$6.52,4.35
2020-12-31,23.73,$7.50,3.17
2020-09-30,18.42,$7.39,2.49
2020-06-30,14.78,$7.81,1.89
2020-03-31,12.59,$3.77,3.34
2019-12-31,18.8,$1.54,12.22
2019-09-30,16.38,$-0.62,0.0
2019-06-30,15.09,$-3.19,0.0
2019-03-31,16.98,$-2.12,0.0
2018-12-31,14.51,$-0.18,0.0
2018-09-30,16.21,$-0.60,0.0
2018-06-30,17.79,$-0.32,0.0
2018-03-31,16.37,$0.20,82.2
2017-12-31,19.54,$-0.58,0.0
2017-09-30,17.68,$1.46,12.14
2017-06-30,14.76,$3.10,4.76
2017-03-31,12.64,$3.17,3.99
2016-12-31,12.51,$3.69,3.39
2016-09-30,9.85,$2.72,3.62
2016-06-30,8.43,$0.77,10.93
2016-03-31,7.4,$0.95,7.76
2015-12-31,8.88,$-1.48,0.0
2015-09-30,9.45,$-2.45,0.0
2015-06-30,9.73,$-2.19,0.0
2015-03-31,10.02,$-3.12,0.0
2014-12-31,11.41,$-1.87,0.0
2014-09-30,11.94,$-0.71,0.0
2014-06-30,12.75,$-0.45,0.0
2014-03-31,11.41,$-1.15,0.0
2013-12-31,10.33,$-0.19,0.0
2013-09-30,9.23,$0.51,17.96
2013-06-30,8.72,$1.68,5.18
2013-03-31,8.29,$2.74,3.02
2012-12-31,7.0,$0.56,12.6
2012-09-30,6.81,$-1.34,0.0
2012-06-30,5.49,$-3.14,0.0
2012-03-31,7.0,$-3.89,0.0
2011-12-31,6.89,$-2.50,0.0
2011-09-30,4.73,$-1.24,0.0
2011-06-30,6.53,$-0.92,0.0
2011-03-31,7.05,$-0.45,0.0
2010-12-31,7.32,$-0.20,0.0
2010-09-30,5.57,$-0.53,0.0
2010-06-30,4.72,$0.26,17.94
2010-03-31,4.98,$0.56,8.86
2009-12-31,4.26,$1.19,3.59
