Commercial Vehicle Price to Free Cash Flow Ratio Historical Data,Commercial Vehicle Price to Free Cash Flow Ratio Historical Data,Commercial Vehicle Price to Free Cash Flow Ratio Historical Data,Commercial Vehicle Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.5,,0.0
2024-09-30,3.25,$-0.40,0.0
2024-06-30,4.9,$0.45,10.84
2024-03-31,6.43,$0.43,14.97
2023-12-31,7.01,$0.55,12.67
2023-09-30,7.76,$1.32,5.88
2023-06-30,11.1,$1.99,5.58
2023-03-31,7.3,$2.19,3.33
2022-12-31,6.81,$1.52,4.47
2022-09-30,4.5,$0.19,23.97
2022-06-30,5.84,$-0.87,0.0
2022-03-31,8.45,$-1.68,0.0
2021-12-31,8.06,$-1.45,0.0
2021-09-30,9.46,$-0.88,0.0
2021-06-30,10.63,$-0.59,0.0
2021-03-31,9.65,$0.15,63.74
2020-12-31,8.65,$0.90,9.58
2020-09-30,6.53,$0.90,7.27
2020-06-30,2.89,$1.07,2.71
2020-03-31,1.51,$1.01,1.49
2019-12-31,6.35,$0.41,15.33
2019-09-30,7.21,$0.86,8.36
2019-06-30,8.02,$0.89,9.03
2019-03-31,7.67,$1.21,6.32
2018-12-31,5.7,$0.88,6.48
2018-09-30,9.16,$0.45,20.15
2018-06-30,7.34,$-0.05,0.0
2018-03-31,7.75,$-0.61,0.0
2017-12-31,10.69,$-0.28,0.0
2017-09-30,7.35,$-0.55,0.0
2017-06-30,8.45,$-0.20,0.0
2017-03-31,6.77,$0.70,9.62
2016-12-31,5.53,$1.27,4.35
2016-09-30,5.78,$1.37,4.22
2016-06-30,5.2,$1.79,2.91
2016-03-31,2.65,$1.11,2.4
2015-12-31,2.76,$1.39,1.99
2015-09-30,4.03,$1.13,3.56
2015-06-30,7.21,$0.60,12.07
2015-03-31,6.44,$0.34,18.79
2014-12-31,6.66,$-0.12,0.0
2014-09-30,6.18,$0.20,30.73
2014-06-30,10.04,$0.31,32.22
2014-03-31,9.12,$0.41,22.11
2013-12-31,7.27,$0.24,30.34
2013-09-30,7.95,$0.07,119.91
2013-06-30,7.46,$0.08,95.03
2013-03-31,7.8,$-0.04,0.0
2012-12-31,8.21,$0.24,34.07
2012-09-30,7.35,$0.49,14.91
2012-06-30,8.62,$0.40,21.37
2012-03-31,12.21,$0.18,68.29
2011-12-31,9.04,$-0.48,0.0
2011-09-30,6.57,$-0.50,0.0
2011-06-30,14.19,$-1.15,0.0
2011-03-31,17.84,$0.16,111.29
2010-12-31,16.25,$0.28,57.99
2010-09-30,10.18,$0.36,28.36
2010-06-30,10.21,$0.50,20.31
2010-03-31,7.14,$0.05,154.21
2009-12-31,5.99,$0.58,10.34
