Thor Industries Price to Free Cash Flow Ratio Historical Data,Thor Industries Price to Free Cash Flow Ratio Historical Data,Thor Industries Price to Free Cash Flow Ratio Historical Data,Thor Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,80.25,,7.52
2025-01-31,102.84,$10.67,9.64
2024-10-31,103.58,$7.79,13.3
2024-07-31,105.64,$8.03,13.16
2024-04-30,98.44,$10.87,9.05
2024-01-31,111.43,$10.92,10.2
2023-10-31,86.35,$14.26,6.06
2023-07-31,112.8,$14.61,7.72
2023-04-30,76.84,$11.42,6.73
2023-01-31,92.18,$12.21,7.55
2022-10-31,78.31,$14.61,5.36
2022-07-31,80.61,$13.82,5.83
2022-04-30,72.76,$13.95,5.22
2022-01-31,89.43,$12.87,6.95
2021-10-31,96.0,$9.04,10.62
2021-07-31,111.0,$7.18,15.47
2021-04-30,132.31,$6.68,19.8
2021-01-31,112.74,$6.39,17.64
2020-10-31,78.45,$7.61,10.31
2020-07-31,105.26,$8.34,12.62
2020-04-30,60.9,$7.21,8.45
2020-01-31,73.3,$5.04,14.54
2019-10-31,57.28,$6.83,8.39
2019-07-31,53.64,$7.04,7.62
2019-04-30,58.89,$7.59,7.76
2019-01-31,57.85,$7.84,7.37
2018-10-31,61.39,$5.66,10.84
2018-07-31,83.15,$6.28,13.23
2018-04-30,92.7,$5.72,16.21
2018-01-31,118.96,$5.69,20.92
2017-10-31,118.29,$5.92,19.99
2017-07-31,91.22,$5.86,15.58
2017-04-30,83.03,$5.54,14.98
2017-01-31,89.05,$5.11,17.43
2016-10-31,68.02,$5.06,13.45
2016-07-31,65.38,$5.51,11.87
2016-04-30,54.43,$4.71,11.56
2016-01-31,44.37,$3.69,12.01
2015-10-31,45.52,$3.15,14.47
2015-07-31,46.77,$3.87,12.1
2015-04-30,50.13,$4.53,11.06
2015-01-31,46.74,$3.64,12.83
2014-10-31,43.66,$3.15,13.85
2014-07-31,43.49,$2.39,18.19
2014-04-30,49.78,$0.74,67.56
2014-01-31,41.85,$1.88,22.3
2013-10-31,46.24,$2.13,21.67
2013-07-31,42.91,$2.28,18.82
2013-04-30,29.34,$2.00,14.64
2013-01-31,33.12,$1.28,25.95
2012-10-31,28.76,$1.82,15.79
2012-07-31,21.62,$2.03,10.65
2012-04-30,25.32,$3.46,7.31
2012-01-31,22.84,$2.90,7.87
2011-10-31,19.59,$1.96,9.98
2011-07-31,18.19,$1.48,12.32
2011-04-30,22.72,$0.45,50.53
2011-01-31,27.15,$1.39,19.57
2010-10-31,22.94,$1.31,17.49
2010-07-31,20.22,$1.76,11.51
2010-04-30,25.86,$0.74,34.74
2010-01-31,22.94,$0.20,116.08
2009-10-31,18.9,$1.15,16.38
