UCloudlink Group Price to Free Cash Flow Ratio Historical Data,UCloudlink Group Price to Free Cash Flow Ratio Historical Data,UCloudlink Group Price to Free Cash Flow Ratio Historical Data,UCloudlink Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.25,,8.64
2024-09-30,1.37,$0.14,9.47
2024-06-30,1.86,$0.17,11.19
2024-03-31,1.57,$0.13,11.85
2023-12-31,1.75,$0.13,13.97
2023-09-30,2.12,$0.37,5.69
2023-06-30,2.54,$0.34,7.45
2023-03-31,3.98,$0.33,11.91
2022-12-31,3.34,$0.14,24.5
2022-09-30,0.56,$-0.15,0.0
2022-06-30,1.13,$-0.39,0.0
2022-03-31,1.76,$-0.70,0.0
2021-12-31,6.59,$-0.78,0.0
2021-09-30,4.35,$-0.89,0.0
2021-06-30,10.0,$-0.74,0.0
2021-03-31,10.55,$-0.36,0.0
