W.W Grainger Price to Free Cash Flow Ratio Historical Data,W.W Grainger Price to Free Cash Flow Ratio Historical Data,W.W Grainger Price to Free Cash Flow Ratio Historical Data,W.W Grainger Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,973.66,,30.33
2024-12-31,1054.05,$32.10,32.83
2024-09-30,1037.04,$38.39,27.01
2024-06-30,898.78,$35.75,25.14
2024-03-31,1011.24,$35.98,28.11
2023-12-31,822.16,$32.08,25.63
2023-09-30,684.78,$28.87,23.72
2023-06-30,778.51,$27.38,28.44
2023-03-31,678.14,$23.15,29.29
2022-12-31,546.2,$21.62,25.26
2022-09-30,479.0,$18.29,26.19
2022-06-30,443.59,$13.79,32.16
2022-03-31,501.68,$14.70,34.13
2021-12-31,502.33,$13.62,36.88
2021-09-30,379.69,$15.87,23.93
2021-06-30,421.54,$18.49,22.8
2021-03-31,384.53,$18.50,20.79
2020-12-31,390.01,$17.62,22.14
2020-09-30,339.43,$16.00,21.21
2020-06-30,297.59,$16.19,18.38
2020-03-31,234.21,$17.56,13.33
2019-12-31,317.53,$15.26,20.8
2019-09-30,277.48,$14.49,19.15
2019-06-30,249.13,$15.00,16.61
2019-03-31,278.01,$13.59,20.46
2018-12-31,259.68,$14.48,17.94
2018-09-30,327.18,$16.52,19.8
2018-06-30,281.23,$16.80,16.74
2018-03-31,256.22,$15.86,16.15
2017-12-31,213.43,$16.21,13.17
2017-09-30,161.37,$15.54,10.38
2017-06-30,160.81,$13.83,11.63
2017-03-31,205.93,$13.64,15.1
2016-12-31,204.5,$13.08,15.64
2016-09-30,196.88,$11.38,17.31
2016-06-30,197.89,$11.77,16.81
2016-03-31,202.2,$11.33,17.85
2015-12-31,174.51,$10.30,16.95
2015-09-30,184.18,$9.99,18.43
2015-06-30,201.68,$9.20,21.93
2015-03-31,200.01,$8.13,24.6
2014-12-31,215.22,$8.66,24.86
2014-09-30,211.59,$8.30,25.49
2014-06-30,212.81,$8.74,24.35
2014-03-31,210.56,$10.06,20.93
2013-12-31,212.01,$10.50,20.19
2013-09-30,216.5,$10.52,20.58
2013-06-30,207.87,$10.36,20.07
2013-03-31,184.77,$9.06,20.39
2012-12-31,165.59,$8.08,20.5
2012-09-30,169.81,$7.70,22.05
2012-06-30,155.24,$6.63,23.4
2012-03-31,173.69,$7.47,23.24
2011-12-31,150.86,$7.82,19.3
2011-09-30,120.06,$6.71,17.88
2011-06-30,122.77,$6.27,19.58
2011-03-31,109.51,$6.52,16.8
2010-12-31,109.42,$6.60,16.59
2010-09-30,93.97,$8.30,11.33
2010-06-30,78.09,$9.03,8.65
2010-03-31,84.47,$9.06,9.33
2009-12-31,75.3,$7.90,9.53
