Beyond Meat Price to Free Cash Flow Ratio Historical Data,Beyond Meat Price to Free Cash Flow Ratio Historical Data,Beyond Meat Price to Free Cash Flow Ratio Historical Data,Beyond Meat Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.47,,0.0
2024-12-31,3.76,$-1.60,0.0
2024-09-30,6.78,$-1.53,0.0
2024-06-30,6.71,$-1.05,0.0
2024-03-31,8.28,$-1.57,0.0
2023-12-31,8.9,$-1.77,0.0
2023-09-30,9.62,$-2.33,0.0
2023-06-30,12.98,$-3.27,0.0
2023-03-31,16.23,$-3.95,0.0
2022-12-31,12.31,$-6.19,0.0
2022-09-30,14.17,$-7.44,0.0
2022-06-30,23.94,$-8.57,0.0
2022-03-31,48.31,$-9.01,0.0
2021-12-31,65.16,$-6.92,0.0
2021-09-30,105.26,$-5.19,0.0
2021-06-30,157.49,$-3.41,0.0
2021-03-31,130.12,$-2.25,0.0
2020-12-31,125.0,$-1.85,0.0
2020-09-30,166.06,$-2.52,0.0
2020-06-30,133.98,$-2.06,0.0
2020-03-31,66.6,$-2.19,0.0
