Waste Management Price to Free Cash Flow Ratio Historical Data,Waste Management Price to Free Cash Flow Ratio Historical Data,Waste Management Price to Free Cash Flow Ratio Historical Data,Waste Management Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,226.9,,42.4
2024-12-31,201.79,$5.35,37.7
2024-09-30,206.9,$5.20,39.8
2024-06-30,211.86,$5.23,40.5
2024-03-31,211.67,$5.28,40.12
2023-12-31,177.22,$4.48,39.54
2023-09-30,150.23,$4.10,36.65
2023-06-30,170.15,$3.68,46.26
2023-03-31,159.4,$3.62,43.98
2022-12-31,152.55,$4.70,32.48
2022-09-30,155.19,$4.75,32.64
2022-06-30,147.63,$5.43,27.18
2022-03-31,152.34,$5.76,26.43
2021-12-31,159.74,$5.76,27.75
2021-09-30,142.45,$6.09,23.37
2021-06-30,133.14,$5.99,22.24
2021-03-31,122.1,$5.45,22.4
2020-12-31,111.07,$4.17,26.66
2020-09-30,106.09,$5.05,21.02
2020-06-30,98.8,$4.53,21.8
2020-03-31,85.92,$4.55,18.9
2019-12-31,105.29,$4.81,21.89
2019-09-30,105.77,$4.14,25.56
2019-06-30,105.65,$4.14,25.53
2019-03-31,94.73,$4.38,21.61
2018-12-31,80.71,$4.34,18.6
2018-09-30,81.96,$3.88,21.12
2018-06-30,73.4,$3.94,18.63
2018-03-31,75.49,$3.84,19.65
2017-12-31,77.03,$3.78,20.37
2017-09-30,69.5,$4.02,17.27
2017-06-30,64.77,$3.82,16.94
2017-03-31,64.02,$3.68,17.4
2016-12-31,61.89,$3.73,16.61
2016-09-30,55.32,$3.29,16.83
2016-06-30,57.14,$3.06,18.67
2016-03-31,50.53,$3.19,15.86
2015-12-31,45.38,$2.84,15.98
2015-09-30,42.05,$2.76,15.24
2015-06-30,38.83,$2.83,13.72
2015-03-31,45.08,$2.43,18.52
2014-12-31,42.36,$2.53,16.71
2014-09-30,38.94,$2.55,15.28
2014-06-30,36.35,$2.62,13.89
2014-03-31,33.9,$2.53,13.38
2013-12-31,35.83,$2.52,14.22
2013-09-30,32.67,$2.62,12.45
2013-06-30,31.66,$2.12,14.93
2013-03-31,30.51,$2.15,14.19
2012-12-31,25.99,$1.69,15.38
2012-09-30,24.44,$1.93,12.69
2012-06-30,25.19,$2.31,10.91
2012-03-31,26.08,$2.04,12.77
2011-12-31,24.15,$2.43,9.94
2011-09-30,23.77,$2.29,10.4
2011-06-30,26.93,$2.41,11.17
2011-03-31,26.74,$2.53,10.57
2010-12-31,26.17,$2.43,10.78
2010-09-30,25.14,$2.65,9.5
2010-06-30,21.8,$2.45,8.91
2010-03-31,23.76,$2.50,9.52
2009-12-31,23.12,$2.40,9.65
