"BARINGS BDC, INC Price to Free Cash Flow Ratio Historical Data","BARINGS BDC, INC Price to Free Cash Flow Ratio Historical Data","BARINGS BDC, INC Price to Free Cash Flow Ratio Historical Data","BARINGS BDC, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.63,,8.34
2024-12-31,9.57,$1.15,8.29
2024-09-30,9.55,$2.88,3.31
2024-06-30,9.23,$2.32,3.97
2024-03-31,8.83,$1.62,5.46
2023-12-31,7.92,$0.72,11.02
2023-09-30,7.99,$-0.75,0.0
2023-06-30,6.83,$0.70,9.76
2023-03-31,6.7,$0.21,31.38
2022-12-31,6.67,$0.84,7.96
2022-09-30,6.59,$-3.29,0.0
2022-06-30,7.23,$-4.06,0.0
2022-03-31,7.85,$-5.00,0.0
2021-12-31,8.19,$-6.07,0.0
2021-09-30,8.03,$-6.37,0.0
2021-06-30,7.54,$-9.12,0.0
2021-03-31,7.0,$-6.53,0.0
2020-12-31,6.33,$-4.49,0.0
2020-09-30,5.4,$-0.20,0.0
2020-06-30,5.25,$2.52,2.08
2020-03-31,4.85,$0.91,5.34
2019-12-31,6.56,$-0.63,0.0
2019-09-30,6.38,$-9.28,0.0
2019-06-30,6.1,$-8.50,0.0
2019-03-31,6.0,$-6.08,0.0
2018-12-31,5.51,$-3.97,0.0
2018-09-30,6.06,$7.29,0.83
2018-06-30,6.94,$6.67,1.04
2018-03-31,6.72,$3.56,1.89
2017-12-31,5.59,$0.17,32.77
2017-09-30,8.15,$-4.24,0.0
2017-06-30,9.73,$-5.16,0.0
2017-03-31,10.28,$-4.04,0.0
2016-12-31,9.64,$-0.64,0.0
2016-09-30,10.11,$1.68,6.03
2016-06-30,9.73,$-0.25,0.0
2016-03-31,10.09,$0.05,187.12
2015-12-31,9.11,$-0.94,0.0
2015-09-30,7.63,$-2.58,0.0
2015-06-30,10.53,$-3.89,0.0
2015-03-31,9.99,$-5.23,0.0
2014-12-31,8.68,$-6.33,0.0
2014-09-30,10.51,$-5.35,0.0
2014-06-30,11.53,$-0.02,0.0
2014-03-31,10.25,$3.87,2.65
2013-12-31,10.68,$4.62,2.31
2013-09-30,11.13,$3.11,3.58
2013-06-30,10.24,$0.94,10.88
2013-03-31,10.22,$-3.70,0.0
2012-12-31,9.14,$-4.88,0.0
2012-09-30,9.01,$-4.25,0.0
2012-06-30,7.83,$-5.47,0.0
2012-03-31,6.63,$-4.35,0.0
2011-12-31,6.27,$-6.05,0.0
2011-09-30,4.87,$-10.57,0.0
2011-06-30,5.75,$-8.13,0.0
2011-03-31,5.49,$-9.85,0.0
2010-12-31,5.65,$-7.64,0.0
2010-09-30,4.65,$-2.13,0.0
2010-06-30,4.03,$-4.33,0.0
2010-03-31,3.87,$-1.30,0.0
2009-12-31,3.24,$-1.56,0.0
