Black Diamond Therapeutics Price to Free Cash Flow Ratio Historical Data,Black Diamond Therapeutics Price to Free Cash Flow Ratio Historical Data,Black Diamond Therapeutics Price to Free Cash Flow Ratio Historical Data,Black Diamond Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.88,,0.0
2024-12-31,2.14,$-1.13,0.0
2024-09-30,4.35,$-1.32,0.0
2024-06-30,4.66,$-1.23,0.0
2024-03-31,5.07,$-1.38,0.0
2023-12-31,2.81,$-1.52,0.0
2023-09-30,2.87,$-1.64,0.0
2023-06-30,5.05,$-2.00,0.0
2023-03-31,1.89,$-2.11,0.0
2022-12-31,1.8,$-2.35,0.0
2022-09-30,1.69,$-2.42,0.0
2022-06-30,2.46,$-2.74,0.0
2022-03-31,2.77,$-2.95,0.0
2021-12-31,5.33,$-2.84,0.0
2021-09-30,8.46,$-2.74,0.0
2021-06-30,12.19,$-2.29,0.0
2021-03-31,24.26,$-1.79,0.0
2020-12-31,32.05,$-1.59,0.0
