Brookfield Business Partners Price to Free Cash Flow Ratio Historical Data,Brookfield Business Partners Price to Free Cash Flow Ratio Historical Data,Brookfield Business Partners Price to Free Cash Flow Ratio Historical Data,Brookfield Business Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,23.56,,6.94
2024-09-30,23.25,$3.40,6.85
2024-06-30,18.75,$-7.43,0.0
2024-03-31,21.98,$-0.65,0.0
2023-12-31,20.41,$-1.01,0.0
2023-09-30,15.01,$-4.22,0.0
2023-06-30,16.95,$-5.88,0.0
2023-03-31,18.26,$-3.08,0.0
2022-12-31,16.57,$-7.38,0.0
2022-09-30,18.95,$-2.31,0.0
2022-06-30,20.57,$-5.99,0.0
2022-03-31,29.75,$-0.79,0.0
2021-12-31,28.98,$4.69,6.18
2021-09-30,28.84,$16.53,1.74
2021-06-30,29.02,$23.00,1.26
2021-03-31,25.18,$30.84,0.82
2020-12-31,23.49,$35.42,0.66
2020-09-30,18.82,$22.34,0.84
2020-06-30,19.24,$17.35,1.11
2020-03-31,15.81,$17.20,0.92
2019-12-31,25.62,$14.71,1.74
2019-09-30,24.35,$28.91,0.84
2019-06-30,23.7,$25.91,0.91
2019-03-31,24.44,$14.30,1.71
2018-12-31,18.74,$13.60,1.38
2018-09-30,28.23,$-1.98,0.0
2018-06-30,23.56,$4.11,5.73
2018-03-31,22.14,$-6.82,0.0
2017-12-31,21.18,$-5.28,0.0
2017-09-30,18.16,$-1.48,0.0
2017-06-30,16.53,$-7.69,0.0
2017-03-31,15.02,$2.68,5.6
