LakeShore Biopharma Price to Free Cash Flow Ratio Historical Data,LakeShore Biopharma Price to Free Cash Flow Ratio Historical Data,LakeShore Biopharma Price to Free Cash Flow Ratio Historical Data,LakeShore Biopharma Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.05,,inf
2023-06-30,1.38,0,0.0
2023-03-31,1.6,$-0.29,0.0
2022-09-30,9.82,$-0.97,0.0
2022-06-30,9.73,$-0.76,0.0
