Global Self Storage Price to Free Cash Flow Ratio Historical Data,Global Self Storage Price to Free Cash Flow Ratio Historical Data,Global Self Storage Price to Free Cash Flow Ratio Historical Data,Global Self Storage Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.15,,14.04
2024-09-30,5.14,$0.37,14.01
2024-06-30,4.73,$0.37,12.76
2024-03-31,4.27,$0.38,11.31
2023-12-31,4.37,$0.39,11.28
2023-09-30,4.51,$0.38,11.88
2023-06-30,4.62,$0.40,11.46
2023-03-31,4.64,$0.41,11.31
2022-12-31,4.34,$0.43,10.1
2022-09-30,5.14,$0.46,11.09
2022-06-30,4.87,$0.38,12.94
2022-03-31,4.8,$0.37,12.92
2021-12-31,4.82,$0.34,14.23
2021-09-30,4.3,$0.30,14.43
2021-06-30,4.3,$0.24,18.13
2021-03-31,3.89,$0.13,30.15
2020-12-31,3.23,$0.04,76.99
2020-09-30,3.18,$-0.16,0.0
2020-06-30,3.01,$-0.09,0.0
2020-03-31,2.7,$-0.07,0.0
2019-12-31,3.25,$0.03,118.13
2019-09-30,3.54,$0.25,14.4
2019-06-30,2.76,$0.24,11.33
2019-03-31,2.79,$0.29,9.74
2018-12-31,2.79,$0.28,10.03
2018-09-30,2.93,$0.20,14.76
2018-06-30,2.86,$0.19,14.95
2018-03-31,2.99,$0.17,17.49
2017-12-31,3.08,$0.17,18.44
2017-09-30,3.18,$0.15,21.69
2017-06-30,3.18,$0.12,26.69
2017-03-31,3.06,$0.06,48.25
2016-12-31,3.01,0,0.0
