Yoshiharu Global Price to Free Cash Flow Ratio Historical Data,Yoshiharu Global Price to Free Cash Flow Ratio Historical Data,Yoshiharu Global Price to Free Cash Flow Ratio Historical Data,Yoshiharu Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.91,,0.0
2024-09-30,7.54,$-0.52,0.0
2024-06-30,4.28,$-1.46,0.0
2024-03-31,4.01,$-2.72,0.0
2023-12-31,5.43,$-4.56,0.0
2023-09-30,0.4,$-4.65,0.0
2023-06-30,0.76,$-7.82,0.0
