Postal Realty Trust Price to Free Cash Flow Ratio Historical Data,Postal Realty Trust Price to Free Cash Flow Ratio Historical Data,Postal Realty Trust Price to Free Cash Flow Ratio Historical Data,Postal Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.11,,8.67
2024-12-31,13.05,$1.63,8.02
2024-09-30,14.64,$1.29,11.32
2024-06-30,13.33,$1.23,10.84
2024-03-31,14.32,$1.15,12.43
2023-12-31,14.56,$1.27,11.48
2023-09-30,13.5,$1.23,10.95
2023-06-30,14.71,$1.21,12.14
2023-03-31,15.22,$1.19,12.76
2022-12-31,14.53,$1.13,12.89
2022-09-30,14.67,$1.03,14.24
2022-06-30,14.69,$1.14,12.87
2022-03-31,16.34,$1.09,14.98
2021-12-31,18.98,$1.11,17.1
2021-09-30,17.66,$1.48,11.91
2021-06-30,17.09,$1.23,13.87
2021-03-31,15.93,$1.28,12.48
2020-12-31,15.45,$1.20,12.86
2020-09-30,13.67,$0.78,17.54
2020-06-30,14.2,$0.91,15.56
2020-03-31,13.92,$0.78,17.77
