Haverty Furniture Price to Free Cash Flow Ratio Historical Data,Haverty Furniture Price to Free Cash Flow Ratio Historical Data,Haverty Furniture Price to Free Cash Flow Ratio Historical Data,Haverty Furniture Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,21.62,,inf
2024-12-31,22.29,0.0,0.0
2024-09-30,26.95,0.0,0.0
2024-06-30,25.6,0.0,0.0
2024-03-31,32.44,0.0,0.0
2023-12-31,35.58,0.0,0.0
2023-09-30,27.93,0.0,0.0
2023-06-30,26.9,0.0,0.0
2023-03-31,30.22,0.0,0.0
2022-12-31,29.0,0.0,0.0
2022-09-30,23.59,0.0,0.0
2022-06-30,23.03,0.0,0.0
2022-03-31,26.02,0.0,0.0
2021-12-31,27.92,0.0,0.0
2021-09-30,33.13,0.0,0.0
2021-06-30,39.47,0.0,0.0
2021-03-31,33.98,0.0,0.0
2020-12-31,26.55,0.0,0.0
2020-09-30,18.13,0.0,0.0
