NGL Energy Partners LP Price to Free Cash Flow Ratio Historical Data,NGL Energy Partners LP Price to Free Cash Flow Ratio Historical Data,NGL Energy Partners LP Price to Free Cash Flow Ratio Historical Data,NGL Energy Partners LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.66,,11.3
2024-12-31,4.99,$0.41,12.1
2024-09-30,4.5,$0.09,47.97
2024-06-30,5.06,$0.96,5.28
2024-03-31,5.76,$1.69,3.4
2023-12-31,5.57,$2.43,2.29
2023-09-30,3.87,$3.62,1.07
2023-06-30,3.89,$2.71,1.43
2023-03-31,2.9,$2.27,1.28
2022-12-31,1.21,$1.74,0.7
2022-09-30,1.3,$0.19,6.89
2022-06-30,1.52,$0.60,2.55
2022-03-31,2.22,$0.49,4.54
2021-12-31,1.82,$0.02,73.68
2021-09-30,2.37,$0.16,14.86
2021-06-30,2.38,$0.64,3.7
2021-03-31,2.04,$0.91,2.25
2020-12-31,2.4,$0.28,8.72
2020-09-30,3.81,$1.45,2.63
2020-06-30,3.6,$-0.17,0.0
2020-03-31,2.32,$-0.71,0.0
2019-12-31,9.73,$-0.16,0.0
2019-09-30,11.52,$-0.71,0.0
2019-06-30,11.9,$-0.67,0.0
2019-03-31,10.99,$-0.93,0.0
2018-12-31,7.26,$-0.84,0.0
2018-09-30,8.48,$-1.98,0.0
2018-06-30,8.86,$-0.69,0.0
2018-03-31,7.53,$0.03,263.33
2017-12-31,9.37,$-0.42,0.0
2017-09-30,7.44,$-1.18,0.0
2017-06-30,8.75,$-1.89,0.0
2017-03-31,13.76,$-3.31,0.0
2016-12-31,12.58,$-4.56,0.0
2016-09-30,11.05,$-4.92,0.0
2016-06-30,11.08,$-4.21,0.0
2016-03-31,4.19,$-2.96,0.0
2015-12-31,5.79,$-0.92,0.0
2015-09-30,10.13,$1.58,6.42
2015-06-30,15.04,$0.55,27.55
2015-03-31,12.73,$0.40,31.94
2014-12-31,13.31,$-1.26,0.0
2014-09-30,18.39,$-0.95,0.0
2014-06-30,19.97,$-1.74,0.0
2014-03-31,17.05,$-1.29,0.0
2013-12-31,15.44,$1.57,9.83
2013-09-30,13.58,$0.81,16.74
2013-06-30,13.07,$3.14,4.16
2013-03-31,11.46,$1.45,7.88
2012-12-31,9.75,$4.04,2.41
2012-09-30,9.87,$6.45,1.53
2012-06-30,8.95,$4.10,2.18
2012-03-31,8.19,$4.07,2.01
