US Gold Corp Price to Free Cash Flow Ratio Historical Data,US Gold Corp Price to Free Cash Flow Ratio Historical Data,US Gold Corp Price to Free Cash Flow Ratio Historical Data,US Gold Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.5,,0.0
2024-10-31,6.15,$-0.71,0.0
2024-07-31,5.84,$-0.77,0.0
2024-04-30,4.18,$-0.76,0.0
2024-01-31,3.7,$-0.83,0.0
2023-10-31,3.33,$-0.55,0.0
2023-07-31,4.48,$-0.59,0.0
2023-04-30,4.31,$-0.73,0.0
2023-01-31,4.61,$-0.81,0.0
2022-10-31,3.69,$-1.43,0.0
2022-07-31,4.15,$-1.69,0.0
2022-04-30,5.65,$-1.76,0.0
2022-01-31,6.63,$-2.07,0.0
2021-10-31,9.92,$-1.75,0.0
2021-07-31,10.16,$-1.89,0.0
2021-04-30,11.0,$-1.83,0.0
2021-01-31,10.99,$-1.37,0.0
2020-10-31,8.11,$-1.43,0.0
2020-07-31,8.13,$-1.50,0.0
2020-04-30,5.11,$-1.68,0.0
2020-01-31,8.08,$-2.08,0.0
2019-10-31,7.96,$-2.32,0.0
2019-07-31,9.9,$-2.77,0.0
2019-04-30,11.7,$-3.07,0.0
2019-01-31,9.85,$-3.35,0.0
2018-10-31,10.4,$-3.88,0.0
2018-07-31,12.7,$-2.84,0.0
2018-04-30,13.6,$-5.22,0.0
2018-01-31,25.5,$-4.98,0.0
2017-10-31,12.0,$-5.40,0.0
2017-07-31,25.5,$-1.99,0.0
2017-04-30,48.0,$-3.48,0.0
2017-01-31,57.2,$3.19,17.94
2016-10-31,41.2,$-7.63,0.0
2016-07-31,72.0,$0.95,76.16
2016-04-30,74.39,$-16.24,0.0
2016-01-31,91.2,$-34.26,0.0
2015-10-31,133.2,$-119.77,0.0
2015-07-31,229.2,$-146.31,0.0
2015-04-30,260.4,$-140.66,0.0
2015-01-31,289.2,$-187.04,0.0
2014-10-31,263.99,$-122.79,0.0
2014-07-31,363.6,$-39.65,0.0
2014-04-30,322.8,$-63.25,0.0
2014-01-31,304.8,$-87.57,0.0
2013-10-31,292.8,$-23.86,0.0
2013-07-31,368.52,$-138.84,0.0
2013-04-30,250.8,$-262.58,0.0
2013-01-31,302.4,$-190.92,0.0
2012-10-31,396.0,$-224.13,0.0
2012-07-31,460.8,$-225.66,0.0
2012-04-30,748.8,$-159.72,0.0
2012-01-31,590.18,$-302.11,0.0
2011-10-31,871.2,$-253.17,0.0
2011-07-31,1123.2,$-334.36,0.0
2011-04-30,1382.4,$-354.14,0.0
2011-01-31,1634.33,$-162.82,0.0
2010-10-31,1756.8,$-368.31,0.0
2010-07-31,1317.6,$-452.19,0.0
2010-04-30,1713.6,$-761.14,0.0
2010-01-31,2008.8,$-937.02,0.0
2009-10-31,1936.8,$-980.85,0.0
