Equifax Price to Free Cash Flow Ratio Historical Data,Equifax Price to Free Cash Flow Ratio Historical Data,Equifax Price to Free Cash Flow Ratio Historical Data,Equifax Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,243.45,,37.4
2024-12-31,254.85,$6.51,39.15
2024-09-30,293.41,$6.27,46.78
2024-06-30,241.78,$5.44,44.48
2024-03-31,266.33,$5.19,51.33
2023-12-31,245.83,$4.16,59.08
2023-09-30,181.76,$4.11,44.22
2023-06-30,233.03,$3.75,62.12
2023-03-31,200.51,$3.89,51.54
2022-12-31,191.76,$1.08,178.31
2022-09-30,168.79,$1.76,95.78
2022-06-30,179.6,$2.55,70.32
2022-03-31,232.5,$3.92,59.26
2021-12-31,286.58,$7.04,40.68
2021-09-30,247.7,$6.50,38.12
2021-06-30,233.78,$6.10,38.31
2021-03-31,176.51,$4.99,35.39
2020-12-31,187.5,$4.27,43.87
2020-09-30,152.21,$3.88,39.26
2020-06-30,166.34,$-0.30,0.0
2020-03-31,115.29,$-0.48,0.0
2019-12-31,134.9,$-0.70,0.0
2019-09-30,135.04,$-1.40,0.0
2019-06-30,129.48,$1.31,98.79
2019-03-31,113.09,$1.72,65.76
2018-12-31,88.56,$2.93,30.21
2018-09-30,123.69,$3.71,33.33
2018-06-30,118.18,$4.98,23.71
2018-03-31,110.9,$5.01,22.16
2017-12-31,110.66,$4.99,22.17
2017-09-30,99.11,$5.74,17.25
2017-06-30,128.15,$5.53,23.16
2017-03-31,127.15,$5.31,23.95
2016-12-31,109.62,$5.36,20.44
2016-09-30,124.44,$4.88,25.48
2016-06-30,118.43,$4.99,23.71
2016-03-31,105.13,$5.05,20.83
2015-12-31,102.13,$5.15,19.82
2015-09-30,88.88,$5.13,17.31
2015-06-30,88.56,$4.73,18.74
2015-03-31,84.58,$4.53,18.67
2014-12-31,73.32,$4.29,17.09
2014-09-30,67.55,$4.21,16.05
2014-06-30,65.35,$4.08,16.01
2014-03-31,61.07,$3.97,15.39
2013-12-31,61.8,$3.93,15.74
2013-09-30,53.18,$3.61,14.72
2013-06-30,52.18,$3.53,14.76
2013-03-31,50.81,$3.67,13.85
2012-12-31,47.56,$3.51,13.54
2012-09-30,40.79,$3.52,11.57
2012-06-30,40.49,$3.20,12.67
2012-03-31,38.3,$2.95,12.97
2011-12-31,33.38,$2.70,12.37
2011-09-30,26.37,$2.63,10.04
2011-06-30,29.62,$2.26,13.11
2011-03-31,33.0,$2.07,15.95
2010-12-31,30.11,$2.00,15.07
2010-09-30,26.27,$2.01,13.05
2010-06-30,23.59,$2.41,9.78
2010-03-31,30.06,$2.39,12.57
2009-12-31,25.9,$2.72,9.53
