Ispire Technology Price to Free Cash Flow Ratio Historical Data,Ispire Technology Price to Free Cash Flow Ratio Historical Data,Ispire Technology Price to Free Cash Flow Ratio Historical Data,Ispire Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.33,,129.57
2024-12-31,5.03,$0.03,195.72
2024-09-30,6.21,$-0.06,0.0
2024-06-30,8.0,$-0.37,0.0
2024-03-31,6.13,$-0.52,0.0
