Bassett Furniture Industries Price to Free Cash Flow Ratio Historical Data,Bassett Furniture Industries Price to Free Cash Flow Ratio Historical Data,Bassett Furniture Industries Price to Free Cash Flow Ratio Historical Data,Bassett Furniture Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.15,,0.0
2024-11-30,15.23,$-0.13,0.0
2024-08-31,13.97,$-0.11,0.0
2024-05-31,14.58,$-0.33,0.0
2024-02-29,14.86,$-0.61,0.0
2023-11-30,15.66,$0.20,79.29
2023-08-31,14.29,$0.09,155.51
2023-05-31,12.53,$0.44,28.17
2023-02-28,17.01,$-2.06,0.0
2022-11-30,17.26,$-1.71,0.0
2022-08-31,17.18,$-2.55,0.0
2022-05-31,14.56,$-2.71,0.0
2022-02-28,14.38,$0.06,237.6
2021-11-30,12.38,$0.43,29.03
2021-08-31,17.33,$2.22,7.8
2021-05-31,24.28,$4.71,5.16
2021-02-28,16.87,$4.21,4.01
2020-11-30,12.29,$3.31,3.71
2020-08-31,9.78,$2.42,4.04
2020-05-31,4.86,$0.55,8.81
2020-02-29,7.49,$0.97,7.74
2019-11-30,11.43,$-0.58,0.0
2019-08-31,9.07,$-0.03,0.0
2019-05-31,10.94,$0.15,74.69
2019-02-28,14.6,$-0.23,0.0
2018-11-30,15.44,$1.34,11.55
2018-08-31,17.04,$1.79,9.54
2018-05-31,20.07,$1.93,10.39
2018-02-28,23.28,$2.29,10.16
2017-11-30,27.67,$2.43,11.41
2017-08-31,25.53,$2.40,10.65
2017-05-31,21.08,$1.95,10.84
2017-02-28,19.35,$1.91,10.12
2016-11-30,20.48,$1.68,12.2
2016-08-31,17.2,$1.76,9.78
2016-05-31,19.32,$1.44,13.38
2016-02-29,21.37,$2.05,10.44
2015-11-30,21.43,$2.16,9.93
2015-08-31,19.77,$1.31,15.04
2015-05-31,19.26,$1.83,10.5
2015-02-28,17.41,$1.19,14.6
2014-11-30,13.09,$1.63,8.03
2014-08-31,10.09,$1.30,7.74
2014-05-31,8.98,$0.16,55.98
2014-02-28,9.87,$-0.29,0.0
2013-11-30,10.21,$-0.25,0.0
2013-08-31,8.91,$-0.88,0.0
2013-05-31,8.84,$-0.57,0.0
2013-02-28,9.31,$0.22,41.78
2012-11-30,7.08,$-0.09,0.0
2012-08-31,6.92,$0.46,15.19
2012-05-31,5.35,$0.02,324.08
2012-02-29,4.69,$-0.73,0.0
2011-11-30,4.2,$-0.81,0.0
2011-08-31,3.94,$-0.75,0.0
2011-05-31,4.5,$-0.59,0.0
2011-02-28,3.52,$-0.03,0.0
2010-11-30,2.15,$0.87,2.46
2010-08-31,2.47,$0.84,2.96
2010-05-31,2.78,$1.56,1.78
2010-02-28,2.14,$1.31,1.63
2009-11-30,1.93,$0.28,6.96
