Conduent Price to Free Cash Flow Ratio Historical Data,Conduent Price to Free Cash Flow Ratio Historical Data,Conduent Price to Free Cash Flow Ratio Historical Data,Conduent Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.97,,0.0
2024-12-31,4.04,$-0.55,0.0
2024-09-30,4.03,$-0.47,0.0
2024-06-30,3.26,$-0.34,0.0
2024-03-31,3.38,$-0.13,0.0
2023-12-31,3.65,$-0.02,0.0
2023-09-30,3.48,$-0.41,0.0
2023-06-30,3.4,$0.07,46.32
2023-03-31,3.43,$-0.02,0.0
2022-12-31,4.05,$-0.04,0.0
2022-09-30,3.34,$0.11,29.17
2022-06-30,4.32,$-0.10,0.0
2022-03-31,5.16,$0.43,12.06
2021-12-31,5.34,$0.45,11.83
2021-09-30,6.59,$0.87,7.57
2021-06-30,7.5,$1.10,6.81
2021-03-31,6.66,$0.98,6.82
2020-12-31,4.8,$0.10,45.8
2020-09-30,3.18,$0.88,3.61
2020-06-30,2.39,$0.42,5.74
2020-03-31,2.45,$-0.84,0.0
2019-12-31,6.2,$-0.39,0.0
2019-09-30,6.22,$-0.90,0.0
2019-06-30,9.59,$-1.22,0.0
2019-03-31,13.83,$0.16,87.92
2018-12-31,10.63,$0.35,30.42
2018-09-30,22.52,$0.39,57.14
2018-06-30,18.17,$1.19,15.3
2018-03-31,18.64,$1.26,14.81
2017-12-31,16.16,$0.99,16.4
