Bloomin' Brands Price to Free Cash Flow Ratio Historical Data,Bloomin' Brands Price to Free Cash Flow Ratio Historical Data,Bloomin' Brands Price to Free Cash Flow Ratio Historical Data,Bloomin' Brands Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.09,,52.95
2024-12-31,12.21,$0.15,79.91
2024-09-30,16.25,$0.09,189.23
2024-06-30,18.65,$0.96,19.49
2024-03-31,27.54,$1.44,19.06
2023-12-31,26.81,$2.62,10.23
2023-09-30,23.17,$1.87,12.36
2023-06-30,25.1,$1.92,13.06
2023-03-31,23.7,$2.27,10.43
2022-12-31,18.42,$2.03,9.08
2022-09-30,16.68,$2.22,7.5
2022-06-30,15.02,$2.12,7.08
2022-03-31,19.7,$2.60,7.59
2021-12-31,18.73,$2.68,6.99
2021-09-30,22.32,$2.82,7.92
2021-06-30,24.23,$3.40,7.12
2021-03-31,24.15,$1.79,13.46
2020-12-31,17.34,$0.61,28.51
2020-09-30,13.63,$0.91,14.98
2020-06-30,9.52,$0.71,13.41
2020-03-31,6.37,$1.45,4.41
2019-12-31,19.49,$1.94,10.06
2019-09-30,16.65,$1.71,9.76
2019-06-30,16.53,$1.44,11.48
2019-03-31,17.79,$1.39,12.82
2018-12-31,15.49,$1.00,15.52
2018-09-30,17.06,$1.30,13.17
2018-06-30,17.25,$0.99,17.4
2018-03-31,20.76,$0.80,25.97
2017-12-31,18.18,$1.50,12.13
2017-09-30,14.92,$0.79,18.95
2017-06-30,17.91,$0.52,34.44
2017-03-31,16.59,$0.73,22.85
2016-12-31,15.09,$0.72,21.1
2016-09-30,14.37,$1.12,12.83
2016-06-30,14.84,$1.64,9.07
2016-03-31,13.96,$1.81,7.69
2015-12-31,13.91,$1.47,9.45
2015-09-30,14.92,$1.71,8.73
2015-06-30,17.48,$1.62,10.81
2015-03-31,19.86,$1.31,15.17
2014-12-31,20.17,$0.93,21.58
2014-09-30,14.94,$1.31,11.4
2014-06-30,18.27,$1.12,16.37
2014-03-31,19.63,$1.29,15.22
2013-12-31,19.56,$1.12,17.48
2013-09-30,19.23,$1.61,11.94
2013-06-30,20.26,$1.45,13.99
