Trinity Capital Price to Free Cash Flow Ratio Historical Data,Trinity Capital Price to Free Cash Flow Ratio Historical Data,Trinity Capital Price to Free Cash Flow Ratio Historical Data,Trinity Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.15,,0.0
2024-12-31,14.47,$-5.59,0.0
2024-09-30,13.57,$-8.93,0.0
2024-06-30,14.14,$-3.81,0.0
2024-03-31,14.68,$-4.45,0.0
2023-12-31,14.53,$-2.32,0.0
2023-09-30,13.92,$-0.77,0.0
2023-06-30,13.26,$-1.43,0.0
2023-03-31,12.73,$-4.48,0.0
2022-12-31,10.93,$-6.70,0.0
2022-09-30,12.53,$-9.83,0.0
2022-06-30,14.47,$-11.88,0.0
2022-03-31,18.57,$-9.13,0.0
2021-12-31,16.44,$-8.28,0.0
