WiMi Hologram Cloud Price to Free Cash Flow Ratio Historical Data,WiMi Hologram Cloud Price to Free Cash Flow Ratio Historical Data,WiMi Hologram Cloud Price to Free Cash Flow Ratio Historical Data,WiMi Hologram Cloud Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.73,,inf
2023-12-31,0.81,0.0,0.0
2023-06-30,1.1,0.0,0.0
2022-12-31,0.74,0.0,0.0
