Identiv Price to Free Cash Flow Ratio Historical Data,Identiv Price to Free Cash Flow Ratio Historical Data,Identiv Price to Free Cash Flow Ratio Historical Data,Identiv Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.29,,0.0
2024-09-30,3.53,$-0.28,0.0
2024-06-30,4.3,$-0.00,0.0
2024-03-31,7.92,$0.06,135.15
2023-12-31,8.24,$-0.14,0.0
2023-09-30,8.44,$-0.55,0.0
2023-06-30,8.41,$-0.65,0.0
2023-03-31,6.14,$-0.75,0.0
2022-12-31,7.24,$-0.52,0.0
2022-09-30,12.54,$-0.23,0.0
2022-06-30,11.58,$0.01,0.0
2022-03-31,16.17,$0.02,773.68
2021-12-31,28.14,$-0.04,0.0
2021-09-30,18.84,$0.08,222.43
2021-06-30,17.0,$-0.07,0.0
2021-03-31,11.46,$-0.05,0.0
2020-12-31,8.5,$-0.19,0.0
2020-09-30,6.26,$-0.39,0.0
2020-06-30,5.1,$-0.39,0.0
2020-03-31,3.38,$-0.30,0.0
2019-12-31,5.64,$0.01,0.0
2019-09-30,5.26,$-0.12,0.0
2019-06-30,5.12,$-0.11,0.0
2019-03-31,5.04,$-0.36,0.0
2018-12-31,3.6,$-0.42,0.0
2018-09-30,5.96,$-0.49,0.0
2018-06-30,3.87,$-0.60,0.0
2018-03-31,3.74,$-0.55,0.0
2017-12-31,3.34,$-0.65,0.0
2017-09-30,4.64,$-0.42,0.0
2017-06-30,5.25,$-0.24,0.0
2017-03-31,7.06,$-0.02,0.0
2016-12-31,3.18,$-0.62,0.0
2016-09-30,2.16,$-1.16,0.0
2016-06-30,1.79,$-1.92,0.0
2016-03-31,2.16,$-2.55,0.0
2015-12-31,1.99,$-2.16,0.0
2015-09-30,3.49,$-1.87,0.0
2015-06-30,5.89,$-1.46,0.0
2015-03-31,8.58,$-1.23,0.0
2014-12-31,13.89,$-1.51,0.0
2014-09-30,13.41,$-1.40,0.0
2014-06-30,11.07,$-0.87,0.0
2014-03-31,11.3,$-1.01,0.0
2013-12-31,5.76,$-0.68,0.0
2013-09-30,7.2,$-1.68,0.0
2013-06-30,7.23,$-1.61,0.0
2013-03-31,14.8,$-2.25,0.0
2012-12-31,15.0,$-2.68,0.0
2012-09-30,8.9,$-1.55,0.0
2012-06-30,9.36,$-1.70,0.0
2012-03-31,20.9,$-1.69,0.0
2011-12-31,22.3,$-1.15,0.0
2011-09-30,19.9,$-2.04,0.0
2011-06-30,23.2,$-1.81,0.0
2011-03-31,26.1,$-1.31,0.0
2010-12-31,25.2,$-2.35,0.0
2010-09-30,18.0,$-2.29,0.0
2010-06-30,16.0,$-2.07,0.0
2010-03-31,19.0,$-3.53,0.0
2009-12-31,23.7,$-2.07,0.0
