Green Dot Price to Free Cash Flow Ratio Historical Data,Green Dot Price to Free Cash Flow Ratio Historical Data,Green Dot Price to Free Cash Flow Ratio Historical Data,Green Dot Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.61,,57.39
2024-12-31,10.64,$0.13,80.24
2024-09-30,11.71,$-0.09,0.0
2024-06-30,9.45,$0.37,25.56
2024-03-31,9.33,$0.26,36.46
2023-12-31,9.9,$0.41,24.09
2023-09-30,13.93,$1.47,9.46
2023-06-30,18.74,$2.52,7.42
2023-03-31,17.18,$3.40,5.06
2022-12-31,15.82,$3.59,4.41
2022-09-30,18.98,$3.63,5.23
2022-06-30,25.11,$3.02,8.31
2022-03-31,27.48,$2.46,11.17
2021-12-31,36.24,$1.98,18.26
2021-09-30,50.33,$1.79,28.05
2021-06-30,46.85,$2.09,22.46
2021-03-31,45.79,$2.39,19.13
2020-12-31,55.8,$2.80,19.95
2020-09-30,50.61,$2.25,22.54
2020-06-30,49.08,$2.15,22.87
2020-03-31,25.39,$2.02,12.58
2019-12-31,23.3,$2.10,11.08
2019-09-30,25.25,$3.16,7.99
2019-06-30,48.9,$3.31,14.77
2019-03-31,60.65,$3.86,15.72
2018-12-31,79.52,$3.49,22.8
2018-09-30,88.82,$3.93,22.61
2018-06-30,73.39,$3.51,20.89
2018-03-31,64.16,$3.08,20.8
2017-12-31,60.26,$3.27,18.41
2017-09-30,49.58,$2.52,19.67
2017-06-30,38.53,$2.38,16.16
2017-03-31,33.36,$1.82,18.31
2016-12-31,23.55,$1.40,16.79
2016-09-30,23.06,$2.00,11.53
2016-06-30,22.99,$1.68,13.68
2016-03-31,22.97,$1.91,12.02
2015-12-31,16.42,$2.10,7.81
2015-09-30,17.6,$1.60,10.97
2015-06-30,19.12,$2.24,8.55
2015-03-31,15.92,$2.35,6.79
2014-12-31,20.49,$0.72,28.65
2014-09-30,21.14,$1.15,18.31
2014-06-30,18.98,$0.68,27.74
2014-03-31,19.53,$1.63,11.99
2013-12-31,25.15,$2.34,10.77
2013-09-30,26.33,$2.02,13.04
2013-06-30,19.95,$2.69,7.42
2013-03-31,16.71,$1.46,11.46
2012-12-31,12.2,$1.71,7.12
2012-09-30,12.23,$1.62,7.54
2012-06-30,22.12,$1.37,16.14
2012-03-31,26.52,$1.31,20.29
2011-12-31,31.22,$1.15,27.22
2011-09-30,31.32,$0.89,35.13
2011-06-30,33.98,$1.62,20.94
