Heartland Express Price to Free Cash Flow Ratio Historical Data,Heartland Express Price to Free Cash Flow Ratio Historical Data,Heartland Express Price to Free Cash Flow Ratio Historical Data,Heartland Express Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.34,,7.52
2024-12-31,11.22,$1.24,9.04
2024-09-30,12.28,$2.03,6.05
2024-06-30,12.31,$1.26,9.8
2024-03-31,11.9,$0.93,12.77
2023-12-31,14.19,$1.19,11.94
2023-09-30,14.59,$1.04,14.06
2023-06-30,16.28,$1.67,9.73
2023-03-31,15.78,$2.92,5.4
2022-12-31,15.18,$2.62,5.79
2022-09-30,14.14,$2.36,5.98
2022-06-30,13.73,$2.37,5.78
2022-03-31,13.87,$1.26,11.04
2021-12-31,16.56,$1.52,10.9
2021-09-30,15.75,$1.85,8.52
2021-06-30,16.33,$1.48,11.05
2021-03-31,18.65,$1.46,12.77
2020-12-31,17.22,$0.83,20.73
2020-09-30,17.68,$0.50,35.23
2020-06-30,19.77,$0.63,31.44
2020-03-31,17.61,$0.74,23.84
2019-12-31,19.94,$0.92,21.66
2019-09-30,20.36,$1.18,17.28
2019-06-30,17.09,$1.27,13.41
2019-03-31,18.21,$1.18,15.41
2018-12-31,17.27,$1.31,13.17
2018-09-30,18.6,$1.08,17.27
2018-06-30,17.47,$0.85,20.47
2018-03-31,16.93,$0.76,22.28
2017-12-31,21.94,$0.88,25.04
2017-09-30,23.55,$1.08,21.86
2017-06-30,19.53,$1.37,14.25
2017-03-31,18.79,$1.27,14.74
2016-12-31,19.06,$1.52,12.52
2016-09-30,17.66,$1.08,16.42
2016-06-30,16.25,$1.08,15.11
2016-03-31,17.31,$1.22,14.22
2015-12-31,15.87,$1.40,11.33
2015-09-30,18.57,$1.22,15.22
2015-06-30,18.82,$1.34,14.04
2015-03-31,22.09,$1.36,16.26
2014-12-31,25.09,$0.67,37.55
2014-09-30,22.24,$1.18,18.93
2014-06-30,19.79,$1.04,19.02
2014-03-31,21.02,$0.88,23.8
2013-12-31,18.16,$0.80,22.7
2013-09-30,13.12,$0.50,26.08
2013-06-30,12.81,$0.40,32.18
2013-03-31,12.3,$0.46,26.51
2012-12-31,12.03,$0.75,16.07
2012-09-30,11.4,$0.87,13.07
2012-06-30,12.19,$0.89,13.69
2012-03-31,12.3,$0.79,15.66
2011-12-31,12.14,$0.51,23.74
2011-09-30,11.5,$0.52,22.24
2011-06-30,14.02,$0.67,21.05
2011-03-31,14.84,$0.93,15.89
2010-12-31,13.53,$1.17,11.61
2010-09-30,12.55,$0.99,12.64
2010-06-30,11.45,$0.60,18.93
2010-03-31,12.99,$0.21,61.09
2009-12-31,12.01,$0.24,49.77
