Huntington Bancshares Price to Free Cash Flow Ratio Historical Data,Huntington Bancshares Price to Free Cash Flow Ratio Historical Data,Huntington Bancshares Price to Free Cash Flow Ratio Historical Data,Huntington Bancshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.95,,13.2
2024-12-31,16.27,$1.13,14.37
2024-09-30,14.7,$0.72,20.52
2024-06-30,13.04,$1.71,7.64
2024-03-31,13.63,$1.94,7.04
2023-12-31,12.28,$1.71,7.16
2023-09-30,9.92,$2.04,4.87
2023-06-30,10.14,$1.92,5.28
2023-03-31,10.39,$2.14,4.85
2022-12-31,12.88,$2.60,4.95
2022-09-30,11.91,$2.17,5.48
2022-06-30,10.75,$1.78,6.03
2022-03-31,12.89,$2.07,6.23
2021-12-31,13.46,$1.41,9.54
2021-09-30,13.36,$0.97,13.75
2021-06-30,12.21,$1.31,9.3
2021-03-31,13.31,$0.57,23.46
2020-12-31,10.6,$1.17,9.09
2020-09-30,7.6,$1.75,4.33
2020-06-30,7.38,$1.28,5.78
2020-03-31,6.61,$1.42,4.67
2019-12-31,11.92,$1.39,8.58
2019-09-30,11.17,$1.26,8.89
2019-06-30,10.71,$1.71,6.25
2019-03-31,9.73,$1.66,5.87
2018-12-31,9.05,$1.46,6.19
2018-09-30,11.33,$1.66,6.82
2018-06-30,11.11,$1.65,6.74
2018-03-31,11.28,$1.49,7.58
2017-12-31,10.81,$1.55,6.98
2017-09-30,10.28,$1.41,7.31
2017-06-30,9.9,$1.26,7.82
2017-03-31,9.74,$1.28,7.63
2016-12-31,9.56,$1.19,8.02
2016-09-30,7.09,$1.40,5.08
2016-06-30,6.38,$1.43,4.47
2016-03-31,6.76,$1.41,4.79
2015-12-31,7.78,$1.15,6.76
2015-09-30,7.41,$0.68,10.84
2015-06-30,7.86,$0.62,12.74
2015-03-31,7.64,$0.79,9.73
2014-12-31,7.24,$1.00,7.26
2014-09-30,6.65,$0.94,7.09
2014-06-30,6.49,$1.08,5.99
2014-03-31,6.75,$1.03,6.55
2013-12-31,6.5,$1.08,6.02
2013-09-30,5.53,$1.19,4.66
2013-06-30,5.24,$0.85,6.13
2013-03-31,4.88,$0.95,5.15
2012-12-31,4.21,$1.01,4.16
2012-09-30,4.51,$0.88,5.14
2012-06-30,4.16,$0.97,4.31
2012-03-31,4.16,$1.12,3.73
2011-12-31,3.52,$1.67,2.11
2011-09-30,3.06,$1.40,2.18
2011-06-30,4.15,$1.30,3.18
2011-03-31,4.19,$1.48,2.84
2010-12-31,4.33,$1.06,4.09
2010-09-30,3.58,$1.68,2.14
2010-06-30,3.48,$1.32,2.64
2010-03-31,3.38,$1.17,2.88
2009-12-31,2.28,$3.60,0.64
