ReShape Lifesciences Price to Free Cash Flow Ratio Historical Data,ReShape Lifesciences Price to Free Cash Flow Ratio Historical Data,ReShape Lifesciences Price to Free Cash Flow Ratio Historical Data,ReShape Lifesciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.7,,0.01
2024-09-30,5.65,$68.91,0.08
2024-06-30,11.11,$36.43,0.31
2024-03-31,10.7,$1.75,6.11
2023-12-31,14.48,$-165.63,0.0
2023-09-30,19.6,$-797.31,0.0
2023-06-30,85.84,"$-1,150.26",0.0
2023-03-31,149.06,"$-2,032.47",0.0
2022-12-31,390.92,"$-3,015.85",0.0
2022-09-30,870.87,"$-4,563.49",0.0
2022-06-30,1672.72,"$-6,258.89",0.0
2022-03-31,3422.0,"$-5,339.66",0.0
2021-12-31,4756.0,"$-4,184.29",0.0
2021-09-30,8352.0,"$-2,081.73",0.0
2021-06-30,14500.0,"$2,475.95",5.86
2021-03-31,24534.0,$-2.16,0.0
2020-12-31,13050.0,$-2.29,0.0
2020-09-30,7920.48,$-3.71,0.0
2020-06-30,6138.72,"$-2,478.88",0.0
2020-03-31,6264.0,$-1.39,0.0
2019-12-31,16530.0,$-4.90,0.0
2019-09-30,16878.0,$-6.33,0.0
2019-06-30,60821.7,$-20.23,0.0
2019-03-31,125279.99,$-19.69,0.0
2018-12-31,180089.99,$-16.15,0.0
2018-09-30,234899.99,$-13.36,0.0
2018-06-30,187049.99,$-2.13,0.0
2018-03-31,298409.98,$-2.01,0.0
2017-12-31,575069.97,$-1.90,0.0
2017-09-30,829109.95,$8.37,99014.75
2017-06-30,862169.95,$9.54,90411.17
2017-03-31,930029.94,$3.53,263248.31
2016-12-31,769949.95,$-4.68,0.0
2016-09-30,19845.0,$-1.73,0.0
2016-06-30,42630.0,$-15.11,0.0
2016-03-31,142149.01,$-8.74,0.0
2015-12-31,286870.39,0,0.0
