Merchants Bancorp Price to Free Cash Flow Ratio Historical Data,Merchants Bancorp Price to Free Cash Flow Ratio Historical Data,Merchants Bancorp Price to Free Cash Flow Ratio Historical Data,Merchants Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.92,,0.0
2024-12-31,36.47,$-18.97,0.0
2024-09-30,44.86,$-1.35,0.0
2024-06-30,40.36,$-3.40,0.0
2024-03-31,42.89,$-10.29,0.0
2023-12-31,42.2,$-8.40,0.0
2023-09-30,27.42,$-45.17,0.0
2023-06-30,25.23,$-10.30,0.0
2023-03-31,25.61,$-14.41,0.0
2022-12-31,23.84,$22.37,1.07
2022-09-30,22.56,$50.06,0.45
2022-06-30,22.1,$12.66,1.75
2022-03-31,26.61,$21.78,1.22
2021-12-31,30.6,$-1.22,0.0
2021-09-30,25.46,$-1.36,0.0
2021-06-30,25.25,$31.54,0.8
2021-03-31,26.93,$6.66,4.05
2020-12-31,17.7,$-20.35,0.0
2020-09-30,12.59,$-18.63,0.0
2020-06-30,11.77,$-52.17,0.0
2020-03-31,9.61,$-49.66,0.0
2019-12-31,12.41,$-29.48,0.0
2019-09-30,10.38,$-36.65,0.0
2019-06-30,10.64,$-20.22,0.0
2019-03-31,13.38,$7.39,1.81
2018-12-31,12.38,$4.53,2.73
2018-09-30,15.72,$-2.91,0.0
