News Price to Free Cash Flow Ratio Historical Data,News Price to Free Cash Flow Ratio Historical Data,News Price to Free Cash Flow Ratio Historical Data,News Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.16,,24.85
2024-12-31,27.54,$1.09,25.2
2024-09-30,26.63,$1.31,20.37
2024-06-30,27.46,$1.05,26.16
2024-03-31,26.08,$1.30,20.02
2023-12-31,24.36,$1.34,18.17
2023-09-30,19.91,$1.00,19.88
2023-06-30,19.26,$1.09,17.69
2023-03-31,17.06,$0.89,19.14
2022-12-31,17.86,$1.00,17.86
2022-09-30,14.83,$1.29,11.52
2022-06-30,15.2,$1.45,10.46
2022-03-31,21.61,$1.27,16.96
2021-12-31,21.66,$1.31,16.54
2021-09-30,22.85,$1.30,17.57
2021-06-30,24.91,$1.47,16.97
2021-03-31,24.58,$1.82,13.51
2020-12-31,17.31,$1.23,14.06
2020-09-30,13.5,$0.90,15.01
2020-06-30,11.35,$0.64,17.65
2020-03-31,8.59,$0.50,17.09
2019-12-31,13.41,$0.51,26.45
2019-09-30,13.2,$0.67,19.79
2019-06-30,12.7,$0.78,16.27
2019-03-31,11.71,$0.72,16.25
2018-12-31,10.69,$0.97,11.02
2018-09-30,12.42,$0.99,12.54
2018-06-30,14.48,$0.91,15.89
2018-03-31,14.76,$1.08,13.68
2017-12-31,15.05,$1.11,13.51
2017-09-30,12.31,$1.27,9.68
2017-06-30,12.62,$0.88,14.42
2017-03-31,11.98,$1.03,11.67
2016-12-31,10.47,$0.66,15.77
2016-09-30,12.78,$0.49,26.01
2016-06-30,10.3,$1.14,9.05
2016-03-31,11.59,$0.54,21.62
2015-12-31,12.02,$0.73,16.48
2015-09-30,11.35,$0.93,12.16
2015-06-30,13.02,$1.21,10.76
2015-03-31,14.29,$1.63,8.79
2014-12-31,14.0,$1.76,7.97
2014-09-30,14.59,$1.77,8.25
2014-06-30,16.01,$1.51,10.63
2014-03-31,15.37,$2.87,5.36
