Hanmi Financial Price to Free Cash Flow Ratio Historical Data,Hanmi Financial Price to Free Cash Flow Ratio Historical Data,Hanmi Financial Price to Free Cash Flow Ratio Historical Data,Hanmi Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.1,,12.29
2024-12-31,23.62,$1.80,13.14
2024-09-30,18.39,$1.49,12.35
2024-06-30,16.31,$2.47,6.6
2024-03-31,15.29,$3.52,4.35
2023-12-31,18.34,$3.71,4.94
2023-09-30,15.11,$5.05,2.99
2023-06-30,13.72,$5.42,2.53
2023-03-31,16.78,$5.31,3.16
2022-12-31,22.13,$4.78,4.63
2022-09-30,20.98,$4.17,5.03
2022-06-30,19.69,$0.39,50.27
2022-03-31,21.39,$3.45,6.2
2021-12-31,20.41,$2.99,6.83
2021-09-30,17.15,$2.77,6.2
2021-06-30,16.19,$5.37,3.01
2021-03-31,16.67,$1.30,12.84
2020-12-31,9.51,$1.87,5.09
2020-09-30,6.83,$1.37,4.99
2020-06-30,8.02,$1.44,5.57
2020-03-31,8.85,$2.12,4.18
2019-12-31,16.09,$2.04,7.87
2019-09-30,14.92,$2.40,6.21
2019-06-30,17.49,$2.42,7.24
2019-03-31,16.7,$2.40,6.96
2018-12-31,15.47,$2.28,6.8
2018-09-30,19.33,$2.49,7.75
2018-06-30,21.81,$2.71,8.03
2018-03-31,23.45,$2.45,9.56
2017-12-31,22.97,$2.51,9.17
2017-09-30,23.27,$2.38,9.79
2017-06-30,21.23,$2.50,8.49
2017-03-31,22.8,$2.29,9.96
2016-12-31,25.73,$1.83,14.07
2016-09-30,19.27,$2.12,9.08
2016-06-30,17.05,$1.89,9.03
2016-03-31,15.89,$2.40,6.62
2015-12-31,17.01,$2.05,8.29
2015-09-30,17.96,$1.14,15.76
2015-06-30,17.63,$0.41,42.57
2015-03-31,14.95,$-0.16,0.0
2014-12-31,15.33,$0.76,20.16
2014-09-30,14.13,$1.12,12.62
2014-06-30,14.72,$1.75,8.39
2014-03-31,16.22,$2.03,7.97
2013-12-31,15.19,$1.88,8.06
2013-09-30,11.46,$1.88,6.08
2013-06-30,12.17,$1.87,6.5
2013-03-31,11.02,$2.91,3.79
2012-12-31,9.36,$1.65,5.66
2012-09-30,8.82,$2.31,3.83
2012-06-30,7.22,$2.83,2.55
2012-03-31,6.97,$1.30,5.36
2011-12-31,5.1,$2.35,2.16
2011-09-30,4.57,$8.43,0.54
2011-06-30,5.89,$-4.73,0.0
2011-03-31,6.83,$17.41,0.39
2010-12-31,6.34,$19.10,0.33
2010-09-30,7.05,$14.67,0.48
2010-06-30,6.94,$31.66,0.22
2010-03-31,13.22,$13.26,1.0
2009-12-31,6.61,$15.35,0.43
