Genco Shipping & Trading Price to Free Cash Flow Ratio Historical Data,Genco Shipping & Trading Price to Free Cash Flow Ratio Historical Data,Genco Shipping & Trading Price to Free Cash Flow Ratio Historical Data,Genco Shipping & Trading Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,13.99,,3.52
2024-12-31,13.94,$3.98,3.51
2024-09-30,19.07,$2.75,6.94
2024-06-30,20.44,$2.05,9.97
2024-03-31,19.14,$0.70,27.24
2023-12-31,15.31,$-0.05,0.0
2023-09-30,12.78,$1.87,6.84
2023-06-30,12.68,$2.76,4.6
2023-03-31,14.0,$3.36,4.17
2022-12-31,13.37,$3.11,4.3
2022-09-30,10.34,$4.81,2.15
2022-06-30,15.46,$3.41,4.54
2022-03-31,18.22,$3.17,5.74
2021-12-31,11.95,$3.83,3.12
2021-09-30,14.89,$2.44,6.1
2021-06-30,13.89,$3.56,3.9
2021-03-31,7.39,$2.52,2.93
2020-12-31,5.39,$1.76,3.06
2020-09-30,5.04,$1.53,3.29
2020-06-30,4.57,$0.61,7.49
2020-03-31,4.65,$0.72,6.49
2019-12-31,7.5,$0.86,8.69
2019-09-30,6.2,$0.99,6.24
2019-06-30,5.68,$-4.12,0.0
2019-03-31,5.02,$-3.56,0.0
2018-12-31,5.31,$-3.47,0.0
2018-09-30,9.43,$-3.87,0.0
2018-06-30,10.44,$1.40,7.45
2018-03-31,9.58,$1.23,7.78
2017-12-31,8.97,$1.14,7.87
2017-09-30,7.81,$1.19,6.57
2017-06-30,6.38,$0.41,15.74
2017-03-31,8.42,$-1.50,0.0
2016-12-31,4.97,$-5.53,0.0
2016-09-30,3.08,$-12.59,0.0
2016-06-30,3.84,$-24.28,0.0
