Usio Inc Price to Free Cash Flow Ratio Historical Data,Usio Inc Price to Free Cash Flow Ratio Historical Data,Usio Inc Price to Free Cash Flow Ratio Historical Data,Usio Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.47,,0.0
2024-09-30,1.36,$-1.16,0.0
2024-06-30,1.53,$-0.47,0.0
2024-03-31,1.7,$0.60,2.82
2023-12-31,1.72,$0.70,2.46
2023-09-30,1.75,$1.83,0.96
2023-06-30,1.86,$1.27,1.47
2023-03-31,1.74,$-0.53,0.0
2022-12-31,1.65,$-0.88,0.0
2022-09-30,1.3,$-0.04,0.0
2022-06-30,2.43,$0.23,10.39
2022-03-31,3.58,$0.55,6.49
2021-12-31,4.36,$1.42,3.06
2021-09-30,5.92,$0.40,14.69
2021-06-30,6.4,$-0.79,0.0
2021-03-31,6.42,$1.00,6.41
2020-12-31,2.67,$0.35,7.57
2020-09-30,1.54,$0.19,8.18
2020-06-30,1.95,$0.88,2.21
