Phillips 66 Price to Free Cash Flow Ratio Historical Data,Phillips 66 Price to Free Cash Flow Ratio Historical Data,Phillips 66 Price to Free Cash Flow Ratio Historical Data,Phillips 66 Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,128.82,,23.31
2024-12-31,113.93,$5.53,20.61
2024-09-30,130.31,$7.25,17.97
2024-06-30,138.74,$10.10,13.73
2024-03-31,159.28,$7.00,22.77
2023-12-31,128.89,$10.75,11.98
2023-09-30,115.25,$16.77,6.87
2023-06-30,90.65,$17.05,5.32
2023-03-31,95.3,$18.90,5.04
2022-12-31,96.82,$18.84,5.14
2022-09-30,74.42,$12.22,6.09
2022-06-30,74.78,$10.96,6.82
2022-03-31,77.99,$11.28,6.91
2021-12-31,64.71,$9.44,6.86
2021-09-30,61.8,$7.01,8.81
2021-06-30,74.78,$3.13,23.92
2021-03-31,70.3,$-0.38,0.0
2020-12-31,59.64,$-1.84,0.0
2020-09-30,43.58,$-1.24,0.0
2020-06-30,59.59,$0.66,90.59
2020-03-31,43.91,$3.89,11.29
2019-12-31,90.27,$2.06,43.82
2019-09-30,82.34,$7.75,10.63
2019-06-30,74.54,$5.59,13.33
2019-03-31,75.04,$6.65,11.28
2018-12-31,67.37,$10.41,6.47
2018-09-30,87.42,$6.50,13.46
2018-06-30,86.5,$6.97,12.42
2018-03-31,73.39,$5.77,12.72
2017-12-31,76.81,$3.50,21.93
2017-09-30,69.04,$0.54,127.55
2017-06-30,61.8,$0.89,69.48
2017-03-31,58.68,$-0.80,0.0
2016-12-31,63.5,$0.22,282.85
2016-09-30,58.75,$-1.30,0.0
2016-06-30,57.4,$-0.90,0.0
2016-03-31,62.15,$-1.50,0.0
2015-12-31,58.27,$-0.09,0.0
2015-09-30,54.4,$1.26,43.08
2015-06-30,56.65,$-1.46,0.0
2015-03-31,54.9,$-1.34,0.0
2014-12-31,49.75,$-0.43,0.0
2014-09-30,56.03,$0.41,135.44
2014-06-30,55.09,$4.89,11.28
2014-03-31,52.47,$5.36,9.78
2013-12-31,52.24,$6.86,7.61
2013-09-30,38.93,$7.15,5.44
2013-06-30,39.45,$7.05,5.6
2013-03-31,46.63,$6.98,6.69
