Clearway Energy Price to Free Cash Flow Ratio Historical Data,Clearway Energy Price to Free Cash Flow Ratio Historical Data,Clearway Energy Price to Free Cash Flow Ratio Historical Data,Clearway Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,30.04,,7.34
2024-12-31,26.0,$4.09,6.35
2024-09-30,30.24,$3.59,8.42
2024-06-30,23.98,$3.50,6.84
2024-03-31,22.39,$3.68,6.08
2023-12-31,26.16,$3.72,7.04
2023-09-30,19.86,$4.41,4.5
2023-06-30,26.39,$4.93,5.35
2023-03-31,28.57,$5.26,5.43
2022-12-31,28.72,$5.77,4.98
2022-09-30,28.41,$5.62,5.06
2022-06-30,30.78,$5.13,6.0
2022-03-31,31.93,$5.19,6.15
2021-12-31,31.19,$4.52,6.9
2021-09-30,25.97,$3.93,6.61
2021-06-30,22.48,$3.84,5.86
2021-03-31,23.6,$2.97,7.95
2020-12-31,26.46,$3.63,7.29
2020-09-30,22.1,$3.69,6.0
2020-06-30,18.68,$2.66,7.01
2020-03-31,15.08,$2.25,6.69
2019-12-31,15.85,$2.28,6.94
2019-09-30,14.35,$2.36,6.08
2019-06-30,13.11,$3.42,3.83
2019-03-31,11.59,$3.94,2.94
2018-12-31,13.06,$3.99,3.27
2018-09-30,14.32,$4.33,3.31
2018-06-30,12.59,$3.49,3.61
2018-03-31,12.23,$3.18,3.84
2017-12-31,13.34,$3.30,4.04
2017-09-30,13.42,$4.37,3.07
2017-06-30,12.05,$4.87,2.47
2017-03-31,11.94,$5.44,2.2
2016-12-31,10.5,$5.68,1.85
2016-09-30,11.1,$5.22,2.12
2016-06-30,10.06,$5.20,1.94
2016-03-31,9.05,$4.52,2.0
2015-12-31,9.22,$4.71,1.95
2015-09-30,7.14,$4.82,1.48
2015-06-30,13.29,$4.61,2.88
2015-03-31,30.57,$6.29,4.86
2014-12-31,28.4,$5.39,5.27
2014-09-30,28.35,$9.33,3.04
2014-06-30,31.36,$-3.07,0.0
