A10 Networks Price to Free Cash Flow Ratio Historical Data,A10 Networks Price to Free Cash Flow Ratio Historical Data,A10 Networks Price to Free Cash Flow Ratio Historical Data,A10 Networks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.43,,16.78
2024-12-31,18.4,$1.04,17.71
2024-09-30,14.39,$0.73,19.7
2024-06-30,13.74,$0.77,17.83
2024-03-31,13.53,$0.88,15.31
2023-12-31,12.95,$0.45,29.11
2023-09-30,14.71,$0.77,19.16
2023-06-30,14.22,$0.64,22.2
2023-03-31,15.03,$0.50,29.85
2022-12-31,16.08,$0.71,22.6
2022-09-30,12.79,$0.48,26.58
2022-06-30,13.81,$0.60,23.06
2022-03-31,13.36,$0.70,18.98
2021-12-31,15.81,$0.56,28.17
2021-09-30,12.82,$0.67,19.07
2021-06-30,10.71,$0.60,17.94
2021-03-31,9.14,$0.52,17.56
2020-12-31,9.38,$0.65,14.5
2020-09-30,6.06,$0.51,11.9
2020-06-30,6.48,$0.37,17.43
2020-03-31,5.9,$0.18,33.57
2019-12-31,6.53,$-0.06,0.0
2019-09-30,6.6,$-0.09,0.0
2019-06-30,6.48,$-0.19,0.0
2019-03-31,6.74,$-0.15,0.0
2018-12-31,5.93,$-0.08,0.0
2018-09-30,5.78,$-0.07,0.0
2018-06-30,5.92,$-0.11,0.0
2018-03-31,5.53,$0.10,53.31
2017-12-31,7.34,$0.12,59.92
2017-09-30,7.19,$0.03,254.01
2017-06-30,8.03,$0.13,61.54
2017-03-31,8.7,$0.07,125.91
2016-12-31,7.9,$0.21,37.32
2016-09-30,10.16,$0.18,55.51
2016-06-30,6.15,$0.23,26.9
2016-03-31,5.63,$0.24,23.13
2015-12-31,6.24,$-0.00,0.0
2015-09-30,5.7,$-0.36,0.0
2015-06-30,6.12,$-0.50,0.0
2015-03-31,4.12,$-0.50,0.0
2014-12-31,4.15,$-0.75,0.0
