UFP Industries Price to Free Cash Flow Ratio Historical Data,UFP Industries Price to Free Cash Flow Ratio Historical Data,UFP Industries Price to Free Cash Flow Ratio Historical Data,UFP Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,107.9,,15.06
2024-12-31,112.65,$7.16,15.72
2024-09-30,130.89,$9.03,14.5
2024-06-30,111.42,$11.28,9.88
2024-03-31,122.03,$13.05,9.35
2023-12-31,124.19,$12.91,9.62
2023-09-30,101.02,$13.52,7.47
2023-06-30,95.47,$14.47,6.6
2023-03-31,77.92,$14.19,5.49
2022-12-31,77.48,$10.90,7.11
2022-09-30,70.33,$10.21,6.89
2022-06-30,66.21,$9.94,6.66
2022-03-31,74.73,$5.73,13.05
2021-12-31,88.91,$6.48,13.71
2021-09-30,65.53,$5.44,12.04
2021-06-30,71.52,$-0.63,0.0
2021-03-31,72.82,$1.62,45.01
2020-12-31,53.21,$4.18,12.74
2020-09-30,54.0,$4.23,12.75
2020-06-30,47.21,$5.63,8.39
2020-03-31,35.37,$4.41,8.03
2019-12-31,45.24,$4.43,10.22
2019-09-30,37.68,$2.81,13.43
2019-06-30,35.96,$2.36,15.27
2019-03-31,28.07,$0.98,28.5
2018-12-31,24.38,$0.98,24.89
2018-09-30,33.18,$0.81,40.73
2018-06-30,34.39,$0.55,62.63
2018-03-31,30.32,$1.37,22.08
2017-12-31,35.16,$1.13,31.03
2017-09-30,30.44,$1.05,29.1
2017-06-30,27.08,$1.45,18.62
2017-03-31,30.41,$1.30,23.42
2016-12-31,31.53,$2.02,15.58
2016-09-30,30.26,$2.36,12.81
2016-06-30,28.48,$2.24,12.73
2016-03-31,26.24,$2.53,10.38
2015-12-31,20.9,$2.14,9.77
2015-09-30,17.54,$1.32,13.32
2015-06-30,15.82,$0.71,22.18
2015-03-31,16.75,$0.39,43.3
2014-12-31,16.06,$0.62,25.98
2014-09-30,12.79,$0.75,17.15
2014-06-30,14.46,$1.13,12.77
2014-03-31,16.5,$0.63,26.33
2013-12-31,15.55,$0.27,57.08
2013-09-30,12.47,$0.06,208.9
2013-06-30,11.86,$-0.74,0.0
2013-03-31,11.77,$-0.67,0.0
2012-12-31,11.24,$-0.30,0.0
2012-09-30,12.21,$-0.10,0.0
2012-06-30,11.46,$0.49,23.27
2012-03-31,10.08,$0.80,12.53
2011-12-31,9.03,$-0.33,0.0
2011-09-30,6.98,$-0.19,0.0
2011-06-30,6.95,$0.02,337.42
2011-03-31,10.56,$-0.54,0.0
2010-12-31,11.21,$0.05,207.93
2010-09-30,8.38,$0.12,69.05
2010-06-30,8.68,$-0.16,0.0
2010-03-31,10.97,$0.98,11.23
2009-12-31,10.49,$2.11,4.98
