ATS Price to Free Cash Flow Ratio Historical Data,ATS Price to Free Cash Flow Ratio Historical Data,ATS Price to Free Cash Flow Ratio Historical Data,ATS Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,27.92,,0.0
2024-12-31,30.48,$-0.27,0.0
2024-09-30,29.05,$0.12,236.37
2024-06-30,32.31,$0.50,64.04
2024-03-31,33.72,$-0.11,0.0
