Moody's Price to Free Cash Flow Ratio Historical Data,Moody's Price to Free Cash Flow Ratio Historical Data,Moody's Price to Free Cash Flow Ratio Historical Data,Moody's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,459.79,,33.32
2024-12-31,473.37,$13.80,34.31
2024-09-30,473.75,$12.72,37.24
2024-06-30,419.42,$11.37,36.88
2024-03-31,390.82,$11.11,35.17
2023-12-31,387.5,$10.22,37.93
2023-09-30,313.03,$9.61,32.56
2023-06-30,343.46,$8.95,38.4
2023-03-31,301.53,$7.15,42.2
2022-12-31,273.82,$6.45,42.46
2022-09-30,238.35,$6.09,39.14
2022-06-30,266.07,$6.80,39.11
2022-03-31,329.27,$8.63,38.16
2021-12-31,380.33,$9.93,38.3
2021-09-30,345.24,$12.07,28.61
2021-06-30,351.71,$12.48,28.19
2021-03-31,289.27,$12.59,22.97
2020-12-31,280.54,$10.79,25.99
2020-09-30,279.59,$9.86,28.34
2020-06-30,264.48,$9.48,27.9
2020-03-31,203.16,$8.29,24.5
2019-12-31,227.57,$8.38,27.15
2019-09-30,195.9,$7.73,25.33
2019-06-30,186.37,$6.99,26.68
2019-03-31,172.34,$6.91,24.94
2018-12-31,132.89,$7.05,18.86
2018-09-30,158.18,$7.23,21.89
2018-06-30,160.95,$7.65,21.03
2018-03-31,151.82,$8.09,18.77
2017-12-31,138.57,$3.42,40.53
2017-09-30,130.35,$3.16,41.25
2017-06-30,113.61,$2.91,39.03
2017-03-31,104.26,$1.97,52.85
2016-12-31,87.42,$5.85,14.93
2016-09-30,100.05,$5.50,18.17
2016-06-30,86.28,$5.26,16.41
2016-03-31,88.55,$5.43,16.32
2015-12-31,91.63,$5.45,16.8
2015-09-30,89.38,$5.44,16.44
2015-06-30,97.96,$5.16,18.98
2015-03-31,93.89,$4.85,19.36
2014-12-31,86.37,$4.40,19.64
2014-09-30,84.95,$4.20,20.22
2014-06-30,78.56,$4.35,18.06
2014-03-31,70.84,$3.83,18.51
2013-12-31,69.84,$3.96,17.65
2013-09-30,62.38,$4.20,14.85
2013-06-30,53.84,$4.05,13.31
2013-03-31,46.97,$4.08,11.51
2012-12-31,44.14,$3.43,12.85
2012-09-30,38.61,$2.57,15.03
2012-06-30,31.82,$2.37,13.4
2012-03-31,36.49,$2.63,13.88
2011-12-31,29.07,$3.21,9.07
2011-09-30,26.17,$3.32,7.88
2011-06-30,32.81,$3.06,10.71
2011-03-31,28.91,$2.59,11.15
2010-12-31,22.54,$2.43,9.29
2010-09-30,21.13,$2.46,8.59
2010-06-30,16.77,$2.25,7.47
2010-03-31,24.93,$2.17,11.47
2009-12-31,22.37,$2.33,9.62
