Akoya Biosciences Price to Free Cash Flow Ratio Historical Data,Akoya Biosciences Price to Free Cash Flow Ratio Historical Data,Akoya Biosciences Price to Free Cash Flow Ratio Historical Data,Akoya Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.68,,0.0
2024-09-30,2.72,$-1.10,0.0
2024-06-30,2.34,$-1.06,0.0
2024-03-31,4.69,$-1.13,0.0
2023-12-31,4.88,$-1.23,0.0
2023-09-30,4.65,$-1.28,0.0
2023-06-30,7.39,$-1.54,0.0
2023-03-31,8.18,$-1.64,0.0
2022-12-31,9.57,$-1.61,0.0
2022-09-30,11.75,$-1.93,0.0
2022-06-30,12.85,$-1.81,0.0
2022-03-31,10.99,$-2.04,0.0
