Teledyne Technologies Price to Free Cash Flow Ratio Historical Data,Teledyne Technologies Price to Free Cash Flow Ratio Historical Data,Teledyne Technologies Price to Free Cash Flow Ratio Historical Data,Teledyne Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,499.29,,21.45
2024-12-31,464.13,$23.28,19.94
2024-09-30,437.66,$19.61,22.32
2024-06-30,387.98,$19.97,19.43
2024-03-31,429.32,$17.06,25.17
2023-12-31,446.29,$15.06,29.64
2023-09-30,408.58,$16.62,24.58
2023-06-30,411.11,$16.58,24.79
2023-03-31,447.36,$16.98,26.35
2022-12-31,399.91,$8.26,48.39
2022-09-30,337.47,$10.75,31.39
2022-06-30,375.11,$8.31,45.16
2022-03-31,472.63,$8.51,55.51
2021-12-31,436.89,$16.32,26.77
2021-09-30,429.58,$15.38,27.94
2021-06-30,418.83,$16.11,26.0
2021-03-31,413.65,$15.78,26.21
2020-12-31,391.98,$14.45,27.13
2020-09-30,310.21,$12.60,24.62
2020-06-30,310.95,$12.36,25.17
2020-03-31,297.27,$10.40,28.57
2019-12-31,346.54,$10.50,33.01
2019-09-30,321.99,$9.56,33.67
2019-06-30,273.87,$9.47,28.92
2019-03-31,237.01,$9.90,23.94
2018-12-31,207.07,$9.73,21.28
2018-09-30,246.68,$9.78,25.22
2018-06-30,199.06,$9.08,21.92
2018-03-31,187.17,$8.99,20.83
2017-12-31,181.15,$8.71,20.8
2017-09-30,159.18,$5.59,28.48
2017-06-30,127.65,$5.64,22.65
2017-03-31,126.46,$6.04,20.95
2016-12-31,123.0,$6.46,19.03
2016-09-30,107.93,$7.79,13.86
2016-06-30,99.05,$6.96,14.22
2016-03-31,88.14,$5.84,15.08
2015-12-31,88.7,$4.53,19.57
2015-09-30,90.3,$5.24,17.24
2015-06-30,105.51,$5.38,19.61
2015-03-31,106.73,$6.30,16.94
2014-12-31,102.74,$6.45,15.93
2014-09-30,94.01,$6.65,14.13
2014-06-30,97.17,$5.59,17.39
2014-03-31,97.33,$5.77,16.86
2013-12-31,91.86,$3.44,26.71
2013-09-30,84.93,$3.99,21.3
2013-06-30,77.35,$3.26,23.75
2013-03-31,78.44,$2.20,35.72
2012-12-31,65.07,$3.31,19.64
2012-09-30,63.39,$2.45,25.83
2012-06-30,61.65,$3.50,17.62
2012-03-31,63.05,$3.95,15.95
2011-12-31,54.85,$4.69,11.7
2011-09-30,48.86,$4.34,11.26
2011-06-30,50.36,$3.67,13.72
2011-03-31,51.71,$2.98,17.37
2010-12-31,43.97,$3.00,14.64
2010-09-30,39.82,$3.58,11.13
2010-06-30,38.58,$4.12,9.35
2010-03-31,41.27,$3.83,10.77
2009-12-31,38.36,$3.32,11.57
