Frontline Price to Free Cash Flow Ratio Historical Data,Frontline Price to Free Cash Flow Ratio Historical Data,Frontline Price to Free Cash Flow Ratio Historical Data,Frontline Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.88,,0.0
2024-09-30,22.32,$-5.98,0.0
2024-06-30,24.48,$-5.83,0.0
2024-03-31,21.66,$-6.31,0.0
2023-12-31,18.29,$-2.84,0.0
2023-09-30,16.87,$0.58,29.19
2023-06-30,12.43,$3.04,4.09
2023-03-31,13.55,$1.16,11.65
2022-12-31,9.31,$0.61,15.39
2022-09-30,8.39,$2.72,3.08
2022-06-30,6.72,$-0.83,0.0
2022-03-31,6.67,$-0.96,0.0
2021-12-31,5.36,$-1.55,0.0
2021-09-30,7.11,$-0.85,0.0
2021-06-30,6.83,$-0.11,0.0
2021-03-31,5.42,$1.15,4.7
2020-12-31,4.72,$2.22,2.13
2020-09-30,4.93,$2.58,1.91
2020-06-30,4.96,$2.11,2.35
2020-03-31,6.27,$1.14,5.48
2019-12-31,8.04,$0.47,17.12
2019-09-30,5.64,$-0.11,0.0
2019-06-30,4.96,$0.09,54.83
2019-03-31,4.0,$0.25,16.22
2018-12-31,3.43,$-1.00,0.0
2018-09-30,3.6,$-0.84,0.0
2018-06-30,3.62,$-2.52,0.0
2018-03-31,2.74,$-3.48,0.0
2017-12-31,2.84,$-3.43,0.0
2017-09-30,3.74,$-3.55,0.0
2017-06-30,3.55,$-2.21,0.0
2017-03-31,4.06,$-1.77,0.0
2016-12-31,4.19,$-1.04,0.0
2016-09-30,4.18,$-0.56,0.0
2016-06-30,4.46,$-1.75,0.0
2016-03-31,4.56,$0.00,0.0
2015-12-31,7.86,$-1.02,0.0
2015-09-30,6.96,$-1.04,0.0
2015-06-30,6.31,$-0.33,0.0
2015-03-31,5.8,$-3.78,0.0
2014-12-31,6.49,$0.07,96.78
2014-09-30,3.26,$2.49,1.31
2014-06-30,7.55,$2.87,2.63
2014-03-31,10.17,$3.38,3.01
2013-12-31,9.68,$-0.40,0.0
2013-09-30,6.86,$-2.59,0.0
2013-06-30,4.58,$-1.88,0.0
2013-03-31,6.05,$1.43,4.23
2012-12-31,8.43,$4.13,2.04
2012-09-30,9.93,$8.43,1.18
2012-06-30,11.8,$6.98,1.69
2012-03-31,19.9,$13.27,1.5
2011-12-31,11.1,$11.78,0.94
2011-09-30,12.55,$-7.06,0.0
2011-06-30,38.02,$9.24,4.12
2011-03-31,63.52,$-7.58,0.0
2010-12-31,64.82,$-13.95,0.0
2010-09-30,71.95,$3.03,23.71
2010-06-30,70.25,$-10.03,0.0
2010-03-31,73.8,$2.17,34.05
2009-12-31,65.25,$9.81,6.65
