Greystone Housing Impact Investors LP Price to Free Cash Flow Ratio Historical Data,Greystone Housing Impact Investors LP Price to Free Cash Flow Ratio Historical Data,Greystone Housing Impact Investors LP Price to Free Cash Flow Ratio Historical Data,Greystone Housing Impact Investors LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.89,,16.53
2024-12-31,10.25,$0.78,13.14
2024-09-30,14.03,$0.78,18.03
2024-06-30,14.43,$0.87,16.59
2024-03-31,15.48,$-0.01,0.0
2023-12-31,15.54,$1.07,14.5
2023-09-30,13.94,$0.87,15.98
2023-06-30,14.47,$0.79,18.3
2023-03-31,14.77,$1.66,8.89
2022-12-31,14.55,$0.84,17.23
2022-09-30,14.08,$1.32,10.69
2022-06-30,14.45,$1.59,9.11
2022-03-31,13.9,$1.65,8.43
2021-12-31,14.51,$1.60,9.07
2021-09-30,13.07,$1.28,10.2
2021-06-30,14.52,$0.96,15.15
2021-03-31,11.72,$1.00,11.66
2020-12-31,8.87,$0.75,11.78
2020-09-30,8.33,$0.87,9.56
2020-06-30,8.36,$0.96,8.72
2020-03-31,10.47,$0.81,12.92
2019-12-31,15.04,$0.87,17.24
2019-09-30,15.72,$0.98,16.09
2019-06-30,13.48,$1.21,11.14
2019-03-31,12.78,$1.27,10.1
2018-12-31,10.27,$1.10,9.32
2018-09-30,10.19,$0.90,11.26
2018-06-30,11.11,$0.65,17.05
2018-03-31,10.59,$0.73,14.58
2017-12-31,10.17,$0.95,10.67
2017-09-30,9.97,$1.04,9.62
2017-06-30,9.61,$0.23,41.34
2017-03-31,8.86,$0.23,38.32
2016-12-31,8.36,$0.23,36.77
2016-09-30,8.93,$0.08,110.61
2016-06-30,8.12,$0.70,11.63
2016-03-31,7.61,$0.68,11.2
2015-12-31,7.16,$0.65,11.05
2015-09-30,7.19,$0.54,13.43
2015-06-30,7.49,$0.50,14.98
2015-03-31,7.35,$0.11,64.12
2014-12-31,6.79,$-0.32,0.0
2014-09-30,7.54,$-0.52,0.0
2014-06-30,7.44,$-0.33,0.0
2014-03-31,7.31,$-0.24,0.0
2013-12-31,7.46,$0.08,89.42
2013-09-30,7.94,$0.34,23.38
2013-06-30,7.72,$0.02,317.7
2013-03-31,7.98,$0.16,51.2
2012-12-31,7.35,$-0.04,0.0
2012-09-30,6.49,$-0.46,0.0
2012-06-30,5.59,$-0.41,0.0
2012-03-31,5.63,$-0.37,0.0
2011-12-31,4.99,$-0.38,0.0
2011-09-30,5.1,$0.18,29.1
2011-06-30,5.31,$0.16,32.58
2011-03-31,5.34,$0.08,64.98
2010-12-31,4.83,$0.06,78.2
2010-09-30,4.88,$-1.23,0.0
2010-06-30,4.78,$-0.37,0.0
2010-03-31,5.03,$-0.31,0.0
2009-12-31,5.04,$-0.41,0.0
