Kronos Worldwide Inc Price to Free Cash Flow Ratio Historical Data,Kronos Worldwide Inc Price to Free Cash Flow Ratio Historical Data,Kronos Worldwide Inc Price to Free Cash Flow Ratio Historical Data,Kronos Worldwide Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.88,,21.08
2024-12-31,9.75,$0.37,26.08
2024-09-30,12.4,$0.57,21.88
2024-06-30,12.44,$0.26,48.36
2024-03-31,11.53,$0.31,36.83
2023-12-31,9.51,$-0.36,0.0
2023-09-30,7.26,$-0.85,0.0
2023-06-30,7.99,$-0.67,0.0
2023-03-31,8.26,$-0.65,0.0
2022-12-31,8.28,$0.16,51.7
2022-09-30,8.06,$0.63,12.85
2022-06-30,15.65,$0.95,16.47
2022-03-31,13.07,$0.60,21.82
2021-12-31,12.47,$1.28,9.74
2021-09-30,10.18,$0.97,10.5
2021-06-30,11.58,$0.90,12.88
2021-03-31,12.24,$0.96,12.78
2020-12-31,11.79,$0.34,34.33
2020-09-30,10.04,$0.29,34.82
2020-06-30,8.01,$0.84,9.52
2020-03-31,6.39,$0.77,8.31
2019-12-31,9.96,$0.91,10.96
2019-09-30,9.07,$0.50,18.03
2019-06-30,11.06,$-0.11,0.0
2019-03-31,9.98,$0.69,14.42
2018-12-31,8.1,$1.14,7.1
2018-09-30,11.28,$1.71,6.61
2018-06-30,15.51,$2.43,6.38
2018-03-31,15.45,$1.94,7.96
2017-12-31,17.49,$1.83,9.57
2017-09-30,15.41,$1.55,9.93
2017-06-30,12.21,$1.02,11.92
2017-03-31,10.92,$0.83,13.2
2016-12-31,7.85,$0.32,24.86
2016-09-30,5.38,$0.18,29.72
2016-06-30,3.35,$0.08,43.68
2016-03-31,3.56,$-0.03,0.0
2015-12-31,3.43,$0.04,79.62
2015-09-30,3.69,$0.50,7.33
2015-06-30,6.37,$0.20,31.56
2015-03-31,7.26,$0.20,35.67
2014-12-31,7.38,$0.23,32.3
2014-09-30,7.72,$0.33,23.24
2014-06-30,8.7,$0.90,9.71
2014-03-31,9.16,$0.88,10.38
2013-12-31,10.36,$0.54,19.12
2013-09-30,8.35,$0.01,0.0
2013-06-30,8.66,$0.45,19.27
2013-03-31,8.27,$0.62,13.35
2012-12-31,10.21,$0.02,564.36
2012-09-30,7.75,$0.30,26.2
2012-06-30,8.12,$0.63,12.98
2012-03-31,12.72,$0.79,16.18
2011-12-31,9.14,$1.96,4.67
2011-09-30,8.08,$2.20,3.67
2011-06-30,15.7,$1.55,10.15
2011-03-31,14.51,$1.19,12.15
2010-12-31,10.3,$0.88,11.76
2010-09-30,9.6,$0.61,15.73
2010-06-30,4.7,$0.14,32.78
2010-03-31,3.53,$0.68,5.16
2009-12-31,3.91,$0.64,6.12
