Sunrise New Energy Price to Free Cash Flow Ratio Historical Data,Sunrise New Energy Price to Free Cash Flow Ratio Historical Data,Sunrise New Energy Price to Free Cash Flow Ratio Historical Data,Sunrise New Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.94,,inf
2023-12-31,1.08,0.0,0.0
2023-06-30,2.66,0.0,0.0
2022-12-31,2.73,0.0,0.0
