Park National Price to Free Cash Flow Ratio Historical Data,Park National Price to Free Cash Flow Ratio Historical Data,Park National Price to Free Cash Flow Ratio Historical Data,Park National Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,153.85,,14.73
2024-12-31,171.43,$10.44,16.41
2024-09-30,166.63,$10.72,15.54
2024-06-30,140.29,$10.47,13.4
2024-03-31,132.9,$9.45,14.07
2023-12-31,128.94,$8.83,14.6
2023-09-30,90.88,$8.44,10.77
2023-06-30,97.41,$7.94,12.26
2023-03-31,111.75,$7.59,14.72
2022-12-31,131.57,$7.86,16.73
2022-09-30,115.14,$7.58,15.18
2022-06-30,111.32,$7.55,14.74
2022-03-31,119.52,$7.78,15.35
2021-12-31,123.94,$8.72,14.21
2021-09-30,109.12,$9.34,11.69
2021-06-30,104.16,$13.10,7.95
2021-03-31,113.76,$7.45,15.27
2020-12-31,91.42,$5.06,18.07
2020-09-30,70.67,$4.07,17.36
2020-06-30,59.97,$0.02,2562.78
2020-03-31,65.18,$4.69,13.9
2019-12-31,84.91,$5.92,14.33
2019-09-30,77.85,$5.83,13.36
2019-06-30,80.7,$6.32,12.77
2019-03-31,76.15,$7.83,9.73
2018-12-31,67.44,$7.72,8.74
2018-09-30,82.95,$6.83,12.14
2018-06-30,86.8,$6.39,13.58
2018-03-31,79.99,$5.04,15.88
2017-12-31,79.46,$5.18,15.35
2017-09-30,81.78,$5.84,14.0
2017-06-30,77.8,$5.50,14.15
2017-03-31,78.17,$5.90,13.26
2016-12-31,88.14,$5.22,16.88
2016-09-30,70.14,$5.57,12.59
2016-06-30,66.37,$5.40,12.29
2016-03-31,64.42,$5.48,11.76
2015-12-31,64.04,$5.06,12.67
2015-09-30,63.23,$4.59,13.77
2015-06-30,60.57,$4.85,12.48
2015-03-31,58.66,$4.05,14.48
2014-12-31,60.0,$4.17,14.38
2014-09-30,50.56,$3.21,15.75
2014-06-30,51.13,$5.12,9.99
2014-03-31,50.27,$6.37,7.9
2013-12-31,54.93,$7.30,7.53
2013-09-30,50.47,$10.83,4.66
2013-06-30,43.39,$8.82,4.92
2013-03-31,43.45,$8.80,4.94
2012-12-31,39.68,$8.56,4.64
2012-09-30,42.35,$7.16,5.91
2012-06-30,41.62,$9.04,4.6
2012-03-31,40.69,$8.30,4.9
2011-12-31,37.77,$7.59,4.98
2011-09-30,30.2,$7.73,3.91
2011-06-30,36.93,$6.48,5.7
2011-03-31,36.94,$7.19,5.14
2010-12-31,39.6,$7.90,5.01
2010-09-30,34.42,$4.14,8.31
2010-06-30,34.43,$3.07,11.2
2010-03-31,32.51,$3.27,9.93
2009-12-31,30.22,$4.53,6.67
