Citizens & Northern Corp Price to Free Cash Flow Ratio Historical Data,Citizens & Northern Corp Price to Free Cash Flow Ratio Historical Data,Citizens & Northern Corp Price to Free Cash Flow Ratio Historical Data,Citizens & Northern Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,20.63,,10.12
2024-12-31,18.6,$2.04,9.12
2024-09-30,19.41,$1.71,11.33
2024-06-30,17.39,$1.80,9.67
2024-03-31,17.97,$1.78,10.11
2023-12-31,21.18,$2.05,10.32
2023-09-30,16.31,$2.10,7.75
2023-06-30,17.71,$2.36,7.5
2023-03-31,19.33,$2.33,8.3
2022-12-31,20.42,$2.03,10.08
2022-09-30,21.35,$2.10,10.16
2022-06-30,21.1,$1.94,10.89
2022-03-31,21.03,$2.05,10.25
2021-12-31,22.29,$2.13,10.46
2021-09-30,21.32,$2.27,9.41
2021-06-30,20.45,$2.16,9.46
2021-03-31,19.62,$1.64,11.98
2020-12-31,16.14,$1.47,11.0
2020-09-30,13.01,$1.14,11.44
2020-06-30,16.3,$1.25,13.05
2020-03-31,15.55,$1.49,10.45
2019-12-31,21.75,$1.47,14.79
2019-09-30,20.02,$1.69,11.85
2019-06-30,19.85,$1.57,12.68
2019-03-31,18.7,$1.73,10.83
2018-12-31,19.45,$2.02,9.64
2018-09-30,19.24,$1.74,11.04
2018-06-30,18.84,$1.85,10.2
2018-03-31,16.64,$1.65,10.08
2017-12-31,17.1,$1.45,11.76
2017-09-30,17.33,$1.49,11.63
2017-06-30,16.23,$1.30,12.51
2017-03-31,16.06,$1.41,11.4
2016-12-31,17.89,$1.40,12.75
2016-09-30,14.82,$1.39,10.63
2016-06-30,13.47,$1.42,9.46
2016-03-31,13.08,$1.54,8.51
2015-12-31,13.64,$1.53,8.9
2015-09-30,12.52,$1.63,7.67
2015-06-30,13.01,$1.45,8.98
2015-03-31,12.61,$1.49,8.43
2014-12-31,12.74,$1.73,7.35
2014-09-30,11.56,$1.60,7.22
2014-06-30,11.7,$2.01,5.81
2014-03-31,11.67,$2.38,4.9
2013-12-31,12.06,$2.41,5.01
2013-09-30,11.51,$2.92,3.94
2013-06-30,11.02,$2.91,3.79
2013-03-31,10.99,$2.44,4.51
2012-12-31,10.52,$2.16,4.87
2012-09-30,10.77,$2.14,5.03
2012-06-30,10.34,$2.10,4.93
2012-03-31,10.75,$2.45,4.38
2011-12-31,9.84,$3.25,3.03
2011-09-30,7.84,$3.10,2.53
2011-06-30,7.88,$3.38,2.33
2011-03-31,8.72,$3.39,2.58
2010-12-31,7.65,$2.84,2.69
2010-09-30,6.64,$1.99,3.34
2010-06-30,5.42,$1.99,2.73
2010-03-31,6.31,$1.63,3.87
2009-12-31,4.76,$1.26,3.76
