Belden Inc Price to Free Cash Flow Ratio Historical Data,Belden Inc Price to Free Cash Flow Ratio Historical Data,Belden Inc Price to Free Cash Flow Ratio Historical Data,Belden Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,102.78,,19.03
2024-12-31,112.61,$5.40,20.85
2024-09-30,117.08,$5.01,23.38
2024-06-30,93.72,$5.50,17.03
2024-03-31,92.48,$5.59,16.56
2023-12-31,77.1,$5.06,15.25
2023-09-30,96.29,$5.92,16.26
2023-06-30,95.35,$6.30,15.14
2023-03-31,86.45,$5.40,16.01
2022-12-31,71.59,$4.93,14.51
2022-09-30,59.72,$5.27,11.32
2022-06-30,52.97,$3.83,13.84
2022-03-31,55.03,$4.32,12.75
2021-12-31,65.24,$4.66,14.0
2021-09-30,57.77,$3.35,17.26
2021-06-30,50.1,$3.04,16.5
2021-03-31,43.92,$2.35,18.66
2020-12-31,41.43,$1.92,21.57
2020-09-30,30.73,$3.18,9.65
2020-06-30,32.1,$3.53,9.08
2020-03-31,35.52,$4.09,8.69
2019-12-31,54.07,$3.94,13.74
2019-09-30,52.4,$4.24,12.36
2019-06-30,58.46,$5.62,10.4
2019-03-31,52.66,$5.35,9.84
2018-12-31,40.92,$4.71,8.69
2018-09-30,69.88,$3.66,19.09
2018-06-30,59.77,$2.57,23.28
2018-03-31,67.36,$2.64,25.52
2017-12-31,75.35,$4.50,16.73
2017-09-30,78.59,$5.18,15.17
2017-06-30,73.56,$5.60,13.14
2017-03-31,67.43,$5.63,11.99
2016-12-31,72.82,$6.14,11.86
2016-09-30,67.15,$5.74,11.7
2016-06-30,58.71,$5.70,10.3
2016-03-31,59.64,$5.83,10.23
2015-12-31,46.29,$4.35,10.63
2015-09-30,45.28,$4.00,11.31
2015-06-30,78.7,$3.30,23.87
2015-03-31,90.6,$2.77,32.67
2014-12-31,76.27,$3.58,21.33
2014-09-30,61.92,$3.15,19.64
2014-06-30,75.54,$3.37,22.43
2014-03-31,67.22,$3.85,17.44
2013-12-31,68.0,$2.85,23.85
2013-09-30,61.77,$1.45,42.47
2013-06-30,48.12,$1.40,34.34
2013-03-31,49.73,$0.54,91.7
2012-12-31,43.27,$2.35,18.42
2012-09-30,35.43,$2.80,12.67
2012-06-30,32.0,$2.87,11.16
2012-03-31,36.31,$3.58,10.14
2011-12-31,31.84,$3.03,10.51
2011-09-30,24.64,$2.57,9.58
2011-06-30,33.25,$2.21,15.06
2011-03-31,35.76,$1.69,21.15
2010-12-31,35.02,$1.74,20.07
2010-09-30,25.05,$1.22,20.48
2010-06-30,20.85,$1.23,16.94
2010-03-31,25.98,$1.98,13.11
2009-12-31,20.69,$2.44,8.5
