HCA Healthcare Price to Free Cash Flow Ratio Historical Data,HCA Healthcare Price to Free Cash Flow Ratio Historical Data,HCA Healthcare Price to Free Cash Flow Ratio Historical Data,HCA Healthcare Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,333.52,,15.48
2024-12-31,300.15,$21.54,13.94
2024-09-30,405.58,$22.23,18.24
2024-06-30,320.08,$18.07,17.71
2024-03-31,331.64,$19.84,16.72
2023-12-31,268.6,$16.96,15.84
2023-09-30,243.54,$15.44,15.78
2023-06-30,299.79,$17.13,17.5
2023-03-31,259.93,$14.59,17.82
2022-12-31,235.99,$14.01,16.85
2022-09-30,180.33,$13.71,13.16
2022-06-30,164.46,$11.62,14.16
2022-03-31,244.5,$14.06,17.39
2021-12-31,250.12,$16.37,15.28
2021-09-30,235.83,$0.12,1953.85
2021-06-30,200.5,$1.98,101.2
2021-03-31,182.23,$20.99,8.68
2020-12-31,158.72,$18.62,8.53
2020-09-30,120.06,$34.77,3.45
2020-06-30,93.46,$31.25,2.99
2020-03-31,86.52,$10.86,7.97
2019-12-31,141.85,$9.89,14.34
2019-09-30,115.23,$9.22,12.5
2019-06-30,128.92,$8.86,14.56
2019-03-31,123.94,$7.89,15.72
2018-12-31,117.96,$8.97,13.15
2018-09-30,131.55,$8.12,16.21
2018-06-30,96.76,$6.44,15.03
2018-03-31,91.17,$6.25,14.59
2017-12-31,82.27,$6.48,12.7
2017-09-30,74.55,$6.48,11.5
2017-06-30,81.67,$7.03,11.62
2017-03-31,83.35,$7.01,11.9
2016-12-31,69.33,$7.31,9.49
2016-09-30,70.84,$7.08,10.01
2016-06-30,72.13,$6.99,10.32
2016-03-31,73.1,$6.38,11.45
2015-12-31,63.34,$5.53,11.46
2015-09-30,72.46,$5.81,12.46
2015-06-30,84.97,$5.82,14.61
2015-03-31,70.46,$6.26,11.25
2014-12-31,68.74,$5.04,13.63
2014-09-30,66.05,$4.37,15.13
2014-06-30,52.81,$4.06,13.0
2014-03-31,49.17,$3.13,15.72
2013-12-31,44.69,$3.76,11.88
2013-09-30,40.04,$3.85,10.41
2013-06-30,33.78,$3.24,10.41
2013-03-31,38.06,$4.75,8.01
2012-12-31,28.26,$5.03,5.61
2012-09-30,26.88,$5.51,4.88
2012-06-30,24.6,$6.10,4.03
2012-03-31,20.0,$4.28,4.68
2011-12-31,16.5,$4.54,3.63
