Steel Partners Holdings LP Price to Free Cash Flow Ratio Historical Data,Steel Partners Holdings LP Price to Free Cash Flow Ratio Historical Data,Steel Partners Holdings LP Price to Free Cash Flow Ratio Historical Data,Steel Partners Holdings LP Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,41.47,,3.32
2024-12-31,42.56,$12.49,3.41
2024-09-30,40.95,$12.95,3.16
2024-06-30,37.23,$12.08,3.08
2024-03-31,39.65,$8.79,4.51
2023-12-31,40.0,$-1.12,0.0
2023-09-30,42.52,$-7.31,0.0
2023-06-30,47.5,$-8.20,0.0
2023-03-31,43.89,$-10.93,0.0
2022-12-31,42.8,$-9.55,0.0
2022-09-30,41.5,$-3.77,0.0
2022-06-30,41.98,$-3.57,0.0
2022-03-31,41.56,$-0.08,0.0
2021-12-31,42.0,$1.12,37.46
2021-09-30,28.43,$2.17,13.08
2021-06-30,29.12,$-3.84,0.0
2021-03-31,13.75,$-0.14,0.0
2020-12-31,10.75,$5.91,1.82
2020-09-30,6.17,$7.16,0.86
2020-06-30,5.27,$12.15,0.43
2020-03-31,5.42,$8.42,0.64
2019-12-31,12.1,$2.87,4.21
2019-09-30,12.41,$1.24,10.02
2019-06-30,13.58,$1.81,7.48
2019-03-31,13.41,$2.35,5.72
2018-12-31,13.0,$0.45,29.17
2018-09-30,16.2,$2.32,6.99
2018-06-30,16.34,$-0.45,0.0
2018-03-31,17.36,$-1.51,0.0
2017-12-31,18.96,$-2.13,0.0
2017-09-30,17.8,$-0.87,0.0
2017-06-30,18.04,$1.44,12.55
2017-03-31,18.62,$8.70,2.14
2016-12-31,15.03,$7.31,2.06
2016-09-30,13.78,$3.38,4.08
2016-06-30,14.08,$3.97,3.55
2016-03-31,14.65,$-2.96,0.0
2015-12-31,15.73,$-0.96,0.0
2015-09-30,15.88,$1.19,13.32
2015-06-30,16.88,$0.91,18.48
2015-03-31,18.24,$1.45,12.58
2014-12-31,16.96,$1.80,9.42
2014-09-30,15.95,$1.09,14.68
2014-06-30,16.03,$1.75,9.14
2014-03-31,16.3,$2.04,8.0
2013-12-31,16.67,$2.44,6.83
2013-09-30,14.43,$2.84,5.08
2013-06-30,13.14,$1.30,10.12
2013-03-31,13.08,$1.04,12.55
