Vishay Precision Price to Free Cash Flow Ratio Historical Data,Vishay Precision Price to Free Cash Flow Ratio Historical Data,Vishay Precision Price to Free Cash Flow Ratio Historical Data,Vishay Precision Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.52,,26.62
2024-12-31,23.47,$0.85,27.75
2024-09-30,25.9,$1.50,17.31
2024-06-30,30.44,$2.10,14.5
2024-03-31,35.33,$2.20,16.04
2023-12-31,34.07,$2.25,15.11
2023-09-30,33.58,$1.76,19.04
2023-06-30,37.15,$1.70,21.88
2023-03-31,41.76,$1.59,26.32
2022-12-31,38.65,$0.89,43.39
2022-09-30,29.59,$1.10,26.97
2022-06-30,29.13,$0.95,30.75
2022-03-31,32.15,$0.90,35.79
2021-12-31,37.12,$1.22,30.34
2021-09-30,34.77,$0.95,36.54
2021-06-30,34.04,$0.83,40.81
2021-03-31,30.81,$0.75,40.94
2020-12-31,31.48,$0.98,32.13
2020-09-30,25.32,$0.85,29.89
2020-06-30,24.58,$1.10,22.4
2020-03-31,20.08,$1.36,14.75
2019-12-31,34.0,$1.50,22.72
2019-09-30,32.74,$2.14,15.27
2019-06-30,40.63,$2.30,17.69
2019-03-31,34.21,$2.09,16.4
2018-12-31,30.23,$1.55,19.49
2018-09-30,37.4,$1.01,37.18
2018-06-30,38.15,$0.97,39.16
2018-03-31,31.15,$0.95,32.77
2017-12-31,25.15,$1.21,20.77
2017-09-30,24.4,$1.15,21.13
2017-06-30,17.3,$1.02,16.94
2017-03-31,15.8,$0.58,27.26
2016-12-31,18.9,$0.39,48.01
2016-09-30,16.03,$0.53,30.26
2016-06-30,13.42,$0.40,33.63
2016-03-31,14.01,$0.59,23.79
2015-12-31,11.32,$0.33,34.65
2015-09-30,11.59,$0.36,31.83
2015-06-30,15.06,$0.55,27.53
2015-03-31,15.93,$0.64,24.94
2014-12-31,17.16,$1.02,16.84
2014-09-30,14.94,$0.90,16.61
2014-06-30,16.46,$0.52,31.75
2014-03-31,17.38,$0.74,23.62
2013-12-31,14.89,$0.57,26.26
2013-09-30,14.55,$0.54,27.1
2013-06-30,15.14,$0.95,15.97
2013-03-31,14.69,$0.67,21.99
2012-12-31,13.22,$0.95,13.98
2012-09-30,13.98,$0.57,24.47
2012-06-30,13.95,$0.45,30.74
2012-03-31,14.83,$0.46,32.29
2011-12-31,15.98,$-0.04,0.0
2011-09-30,13.18,$-0.13,0.0
2011-06-30,16.88,$0.21,81.9
2011-03-31,15.67,$0.59,26.56
