Cadre Holdings Price to Free Cash Flow Ratio Historical Data,Cadre Holdings Price to Free Cash Flow Ratio Historical Data,Cadre Holdings Price to Free Cash Flow Ratio Historical Data,Cadre Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,31.9,,49.18
2024-12-31,32.3,$0.65,49.79
2024-09-30,37.95,$0.74,51.46
2024-06-30,33.56,$1.31,25.54
2024-03-31,36.2,$1.46,24.85
2023-12-31,32.89,$1.76,18.7
2023-09-30,26.65,$1.58,16.86
2023-06-30,21.8,$1.23,17.74
2023-03-31,21.54,$1.26,17.05
2022-12-31,20.14,$1.17,17.19
2022-09-30,24.06,$2.01,11.99
