First National Price to Free Cash Flow Ratio Historical Data,First National Price to Free Cash Flow Ratio Historical Data,First National Price to Free Cash Flow Ratio Historical Data,First National Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.35,,8.66
2024-09-30,17.39,$2.58,6.74
2024-06-30,14.84,$2.32,6.4
2024-03-31,15.73,$2.32,6.78
2023-12-31,20.87,$2.32,8.99
2023-09-30,16.76,$3.19,5.25
2023-06-30,15.6,$3.37,4.63
2023-03-31,14.77,$3.44,4.29
2022-12-31,15.87,$4.09,3.88
2022-09-30,14.07,$1.98,7.11
2022-06-30,16.64,$3.32,5.01
2022-03-31,19.02,$1.60,11.89
2021-12-31,20.69,$1.27,16.28
2021-09-30,20.59,$3.09,6.65
2021-06-30,17.88,$2.06,8.7
2021-03-31,15.4,$3.29,4.68
2020-12-31,14.84,$2.92,5.09
2020-09-30,12.32,$2.68,4.6
2020-06-30,12.01,$2.19,5.49
2020-03-31,12.89,$2.82,4.57
