Greenland Technologies Holding Price to Free Cash Flow Ratio Historical Data,Greenland Technologies Holding Price to Free Cash Flow Ratio Historical Data,Greenland Technologies Holding Price to Free Cash Flow Ratio Historical Data,Greenland Technologies Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.26,,1.66
2024-09-30,2.47,$0.76,3.26
2024-06-30,1.4,$0.37,3.74
2024-03-31,2.21,$-0.78,0.0
2023-12-31,2.79,$0.13,21.54
2023-09-30,3.12,$1.17,2.66
2023-06-30,1.63,$0.76,2.16
2023-03-31,1.63,$0.83,1.97
2022-12-31,2.18,$0.64,3.41
2022-09-30,2.66,$-0.60,0.0
2022-06-30,3.99,$-0.69,0.0
2022-03-31,4.89,$-0.12,0.0
2021-12-31,6.43,$-0.61,0.0
2021-09-30,6.28,$-0.42,0.0
2021-06-30,7.84,$-0.28,0.0
2021-03-31,12.37,$-0.52,0.0
2020-12-31,7.24,$0.27,26.88
2020-09-30,2.4,$0.27,9.03
2020-06-30,2.31,$1.97,1.17
2020-03-31,3.3,$0.86,3.83
2019-12-31,5.0,$1.31,3.83
2019-09-30,10.35,$0.86,11.98
2019-08-31,10.3,$-0.47,0.0
2019-06-30,10.16,$0.49,20.87
2019-05-31,10.15,$-0.36,0.0
2019-03-31,10.07,$-0.01,0.0
2019-02-28,10.05,$-0.08,0.0
