Seres Therapeutics Price to Free Cash Flow Ratio Historical Data,Seres Therapeutics Price to Free Cash Flow Ratio Historical Data,Seres Therapeutics Price to Free Cash Flow Ratio Historical Data,Seres Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.73,,0.0
2024-12-31,0.83,$-0.96,0.0
2024-09-30,0.95,$-1.10,0.0
2024-06-30,0.72,$-1.35,0.0
2024-03-31,0.77,$-0.58,0.0
2023-12-31,1.4,$-0.98,0.0
2023-09-30,2.38,$-1.32,0.0
2023-06-30,4.79,$-1.01,0.0
2023-03-31,5.67,$-2.10,0.0
2022-12-31,5.6,$-2.21,0.0
2022-09-30,6.42,$-2.05,0.0
2022-06-30,3.43,$-0.55,0.0
2022-03-31,7.12,$-0.45,0.0
2021-12-31,8.33,$-0.03,0.0
2021-09-30,6.96,$0.26,26.53
2021-06-30,23.85,$-1.29,0.0
2021-03-31,20.59,$-1.17,0.0
2020-12-31,24.5,$-1.18,0.0
2020-09-30,28.31,$-1.37,0.0
2020-06-30,4.76,$-1.06,0.0
2020-03-31,3.57,$-0.91,0.0
2019-12-31,3.45,$-1.37,0.0
2019-09-30,4.01,$-0.59,0.0
2019-06-30,3.22,$-1.25,0.0
2019-03-31,6.87,$-1.71,0.0
2018-12-31,4.52,$-1.59,0.0
2018-09-30,7.59,$-2.43,0.0
2018-06-30,8.6,$-1.96,0.0
2018-03-31,7.34,$-1.97,0.0
2017-12-31,10.14,$-1.98,0.0
2017-09-30,16.04,$-2.11,0.0
2017-06-30,11.3,$-2.46,0.0
2017-03-31,11.27,$-2.63,0.0
2016-12-31,9.9,$0.56,17.59
2016-09-30,12.29,$0.13,97.46
2016-06-30,29.05,$2.02,14.36
2016-03-31,26.56,$0.58,45.77
