Mawson Infrastructure Group Price to Free Cash Flow Ratio Historical Data,Mawson Infrastructure Group Price to Free Cash Flow Ratio Historical Data,Mawson Infrastructure Group Price to Free Cash Flow Ratio Historical Data,Mawson Infrastructure Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.57,,2.39
2024-09-30,1.24,$0.24,5.21
2024-06-30,1.43,$0.28,5.18
2024-03-31,1.53,$-0.23,0.0
2023-12-31,3.2,$-0.44,0.0
2023-09-30,0.55,$-1.84,0.0
2023-06-30,1.89,$-5.15,0.0
2023-03-31,3.1,$-3.64,0.0
2022-12-31,0.23,$-3.59,0.0
2022-09-30,0.43,$-3.58,0.0
2022-06-30,1.09,$-4.66,0.0
