Xeris Biopharma Holdings Price to Free Cash Flow Ratio Historical Data,Xeris Biopharma Holdings Price to Free Cash Flow Ratio Historical Data,Xeris Biopharma Holdings Price to Free Cash Flow Ratio Historical Data,Xeris Biopharma Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.43,,0.0
2024-12-31,3.39,$-0.26,0.0
2024-09-30,2.85,$-0.21,0.0
2024-06-30,2.25,$-0.27,0.0
2024-03-31,2.21,$-0.31,0.0
2023-12-31,2.35,$-0.36,0.0
2023-09-30,1.86,$-0.53,0.0
2023-06-30,2.62,$-0.56,0.0
2023-03-31,1.63,$-0.60,0.0
2022-12-31,1.33,$-0.76,0.0
2022-09-30,1.56,$-0.85,0.0
2022-06-30,1.54,$-1.06,0.0
2022-03-31,2.56,$-1.18,0.0
2021-12-31,2.93,$-1.22,0.0
2021-09-30,2.45,$-1.40,0.0
2021-06-30,4.07,$-1.18,0.0
2021-03-31,4.51,$-1.41,0.0
2020-12-31,4.92,$-1.90,0.0
2020-09-30,5.93,$-2.75,0.0
2020-06-30,2.66,$-3.77,0.0
2020-03-31,1.95,$-4.02,0.0
2019-12-31,7.05,$-4.04,0.0
2019-09-30,9.83,$-5.71,0.0
2019-06-30,11.44,$-1.14,0.0
2019-03-31,10.04,$-5.70,0.0
